arm,design,n_main,n_cut_lead,n_cut_tail,cuttable,internal_run,cav_before,cav_after,env_before,env_after,rg_before,rg_after,app_before,app_after,verdict_before,verdict_after
arm2noanch_s3002,d012,178,15,7,0,18,0.0,0.0,0.0,0.0,19.7,17.6,5,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d013,119,2,0,0,21,0.0,0.0,0.0,0.0,16.8,16.7,19,19,F1 no cavity,F1 no cavity
arm2noanch_s3002,d014,109,8,11,1,2,0.0,0.0,0.0,0.0,15.0,11.1,12,2,F1 no cavity,F1 no cavity
arm2noanch_s3002,d015,172,15,0,0,19,0.0,0.0,0.0,0.0,18.4,16.9,29,29,F1 no cavity,F1 no cavity
arm2noanch_s3002,d052,135,7,0,0,20,0.0,0.0,0.0,0.0,17.3,17.2,15,15,F1 no cavity,F1 no cavity
arm2noanch_s3002,d053,168,10,2,0,19,0.0,0.0,0.0,0.0,16.5,15.9,7,7,F1 no cavity,F1 no cavity
arm2noanch_s3002,d054,151,0,0,1,2,53.1,53.1,904.0,904.0,14.1,14.1,10,10,F2 envelope,F2 envelope
arm2noanch_s3002,d055,158,7,2,0,10,36.7,40.2,836.2,836.2,16.2,15.6,17,17,F2 envelope,F2 envelope
arm2noanch_s3002,d092,171,0,9,0,20,0.0,0.0,0.0,0.0,16.8,16.1,17,17,F1 no cavity,F1 no cavity
arm2noanch_s3002,d093,163,20,1,1,3,205.0,105.2,1033.1,1033.1,19.7,14.2,19,3,F2 envelope,F2 envelope
arm2noanch_s3002,d094,85,0,0,1,2,0.0,0.0,0.0,0.0,11.0,11.0,0,0,F1 no cavity,F1 no cavity
arm2noanch_s3002,d095,132,17,21,0,21,0.0,0.0,0.0,0.0,17.9,13.5,10,3,F1 no cavity,F1 no cavity
arm2noanch_s3002,d104,163,10,4,0,15,0.0,0.0,0.0,0.0,16.7,15.2,15,15,F1 no cavity,F1 no cavity
