leg,window,lam,n,mean,sd,tau,n_eff,se,se_block,first_half,second_half,drift,mean_2nd_half,se_2nd_half
V81I_aba,0,0.00922,2000,0.06577119999999999,0.45364834577166785,1.7816417088398582,438.28090805215334,0.021669208840149095,0.02222345551043335,0.0559757,0.0755667,0.019590999999999997,0.0755667,0.03766434310277751
V81I_aba,1,0.04794,2000,1.0967255,6.5360866776871065,2.0545609103415847,391.4567062980246,0.33035123451441467,0.3414487690529368,0.5802813000000001,1.6131697,1.0328884,1.6131697,0.5029901302478692
V81I_aba,2,0.11505,2000,-3.0965251999999994,9.510282255595547,0.9182279823596289,705.1052527790442,0.3581512172523476,0.3351009963827135,-3.1801809999999997,-3.0128693999999996,0.16731160000000012,-3.0128693999999996,0.44620314727397503
V81I_aba,3,0.20634,2000,-1.9426907000000002,8.603780592910246,0.5032731928864063,996.7374859513695,0.2725203455283474,0.3778861576789685,-2.0860004,-1.7993810000000001,0.28661939999999997,-1.7993810000000001,0.5699435047208246
V81I_aba,4,0.31608,2000,1.56035865,10.008537820484928,8.698718630291978,108.71079333886081,0.9599183682643085,0.6835315452871338,3.1496961999999997,-0.028978899999999926,-3.1786750999999995,-0.028978899999999926,0.3894889246578115
V81I_aba,5,0.43738,2000,8.593738649999999,9.811942107685587,0.84909193301364,741.2393296031141,0.36039250445634957,0.4750162297836905,8.7045344,8.482942899999998,-0.22159150000000238,8.482942899999998,0.8459475393431141
V81I_aba,6,0.56262,2000,8.44471305,10.301290819032042,4.466416592662106,201.35242006832507,0.7259608845790846,0.6446300130795243,8.019929600000001,8.8694965,0.8495668999999992,8.8694965,0.7076278316681582
V81I_aba,7,0.68392,2000,4.93470635,8.53109425946265,2.328823794912289,353.5038137753667,0.4537406498397603,0.44657906135646047,4.693261399999999,5.1761513,0.48288990000000087,5.1761513,0.5820131454346645
V81I_aba,8,0.79366,2000,1.8722677500000002,5.828938732602973,2.1750219359965497,373.8287101662443,0.3014762915405592,0.2598306298337932,1.6449544,2.0995811000000004,0.4546267000000004,2.0995811000000004,0.28888965221859364
V81I_aba,9,0.88495,2000,-7.97748065,4.644412932589519,2.809098395477304,302.1971185162538,0.26716875472593854,0.25220124267449473,-8.386143200000001,-7.5688181000000005,0.8173251000000006,-7.5688181000000005,0.2813985254814315
V81I_aba,10,0.95206,2000,-4.2863863,1.728018139487404,3.3241365149627726,261.4969408354751,0.10685995594296702,0.11274146032358844,-4.1393987,-4.4333739,-0.2939752000000002,-4.4333739,0.09173096943028672
V81I_aba,11,0.99078,2000,-0.1637305,0.06886734992500326,1.4133576960707657,522.6414287582404,0.0030123917883862154,0.0032638562859389417,-0.15802679999999997,-0.1694342,-0.01140740000000004,-0.1694342,0.00421904289019722
V81I_mandi,0,0.00922,2000,0.14090344999999999,0.6414810120007266,3.7142004415530936,237.2929370278035,0.04164294159278284,0.04046715123116103,0.17024869999999998,0.1115582,-0.05869049999999998,0.1115582,0.043273951553109646
V81I_mandi,1,0.04794,2000,0.8330571,6.424635177933792,1.1887585209722622,592.1509721971819,0.2640172164957879,0.2892246389071259,0.8716741,0.7944401,-0.07723400000000002,0.7944401,0.3481600851561909
V81I_mandi,2,0.11505,2000,-2.9771544999999997,8.889619824233737,1.358908142272841,537.9501962788353,0.3832764656528039,0.36177496354657224,-2.2721151,-3.6821938999999997,-1.4100787999999995,-3.6821938999999997,0.6044514260585399
V81I_mandi,3,0.20634,2000,-1.4717248,8.289723931701035,1.8277305734882292,429.6029838631394,0.3999506649145991,0.4014811706592661,-1.159921,-1.7835286000000001,-0.6236076000000002,-1.7835286000000001,0.6636847916384736
V81I_mandi,4,0.31608,2000,-1.9746963499999999,8.367007839480888,1.3530081634879825,539.663029933805,0.3601710833817342,0.39728807511042763,-0.6316471999999999,-3.3177455,-2.6860983000000003,-3.3177455,0.35550357825967244
V81I_mandi,5,0.43738,2000,2.7876172500000003,8.964378905610756,0.8464320344294717,742.703660065347,0.3289367695152905,0.3955458375667723,3.4602981,2.1149364,-1.3453617000000002,2.1149364,0.29985499161570467
V81I_mandi,6,0.56262,2000,12.62084925,9.423380468879524,0.19401187338437798,1440.8975384289292,0.24825052544522078,0.3078979675139655,13.073823200000001,12.1678753,-0.905947900000001,12.1678753,0.3087148557116891
V81I_mandi,7,0.68392,2000,16.3405804,7.88223900402507,8.039405316770099,117.10417328899374,0.7283890579723177,0.5578421691718167,15.521389300000001,17.159771499999998,1.638382199999997,17.159771499999998,0.3982697211713044
V81I_mandi,8,0.79366,2000,13.7056189,6.4897303226284375,2.5498992518293018,327.8796830420576,0.3584011520544812,0.33820280159583704,13.2925926,14.1186452,0.8260525999999988,14.1186452,0.5511938657056316
V81I_mandi,9,0.88495,2000,13.85600715,6.9879057971074925,3.931516409116548,225.65639110413596,0.4651823438432,0.44098048871124296,14.1235818,13.5884325,-0.5351493000000005,13.5884325,0.7488442314606245
V81I_mandi,10,0.95206,2000,4.742752749999999,2.9905844292406534,52.27201879124699,18.949436138794535,0.687001874419066,0.3463676973540955,5.2600472,4.2254583000000006,-1.0345888999999993,4.2254583000000006,1.1051794384808733
V81I_mandi,11,0.99078,2000,0.24169380000000001,0.11853195190905988,2.812414250025237,301.894607533578,0.006821937846418536,0.006809688174173151,0.2424925,0.2408951,-0.0015973999999999988,0.2408951,0.013853477726159509
V81I_apo,0,0.00922,2000,0.03919405,0.4112945569855021,0.6799104283639659,847.5219609564557,0.014127895761551068,0.011451591462480341,0.030870800000000004,0.0475173,0.016646499999999995,0.0475173,0.023827626208987405
V81I_apo,1,0.04794,2000,-0.07289434999999998,6.242721824146893,0.9823146447092409,674.6206033713929,0.2403500311976714,0.26532829091797594,-0.04567209999999997,-0.1001166,-0.05444450000000003,-0.1001166,0.317990072342865
V81I_apo,2,0.11505,2000,-4.3626603500000005,9.057788464666096,2.3397760885754573,352.1404395307938,0.4826854669746302,0.47290104315610015,-4.8643302,-3.8609904999999998,1.0033397000000006,-3.8609904999999998,0.6998615065789632
V81I_apo,3,0.20634,2000,-1.01654125,8.681466543589694,1.0215287353235563,657.2337260441867,0.3386360387791779,0.3829212092279688,-0.8946733,-1.1384092000000001,-0.24373590000000012,-1.1384092000000001,0.39540476107170586
V81I_apo,4,0.31608,2000,0.08342409999999996,8.638756125365848,0.19603480583105587,1436.7097616706305,0.22791173782674284,0.21629709153684767,0.4892938999999999,-0.3224457,-0.8117395999999999,-0.3224457,0.35266821877853294
V81I_apo,5,0.43738,2000,6.43500285,8.441626814404538,2.092690093205095,385.69978055641644,0.4298346807563522,0.41843926957344646,7.230398699999999,5.639607,-1.5907916999999996,5.639607,0.2530558395588998
V81I_apo,6,0.56262,2000,10.153014299999999,8.973956755468015,5.055297681138034,180.00835551896913,0.6688637204160843,0.5469976772415857,8.8652009,11.4408277,2.5756268,11.4408277,0.35445230438507125
V81I_apo,7,0.68392,2000,7.190442,9.18814335392587,10.604446976567537,90.0540118846249,0.9682248610749952,0.7552931740905926,8.161814999999999,6.219069,-1.9427459999999988,6.219069,1.255077380465623
V81I_apo,8,0.79366,2000,-2.2672594499999996,5.697932146809535,0.35882618175956194,1164.3799656307651,0.1669820971124728,0.236290564830559,-1.7382190999999998,-2.7962998,-1.0580807,-2.7962998,0.2357246509791805
V81I_apo,9,0.88495,2000,-7.0041376500000005,4.323299494901873,0.4304004763791366,1074.8059845065059,0.13187129899037225,0.14779064541189538,-6.8307514000000005,-7.1775239,-0.34677249999999926,-7.1775239,0.17636396130321436
V81I_apo,10,0.95206,2000,-3.0550808,1.685264250908164,0.6919569140178353,838.9564993831957,0.05818329159246549,0.08353406217480515,-2.9992085000000004,-3.1109530999999997,-0.1117445999999993,-3.1109530999999997,0.08239279173612449
V81I_apo,11,0.99078,2000,-0.15214049999999998,0.06204255240481691,0.7182720539576399,820.8347197585562,0.0021655179961486393,0.0025793166123688847,-0.1525966,-0.15168439999999997,0.0009122000000000297,-0.15168439999999997,0.002267276053120098
K59R_aba,0,0.00922,2000,13.2583822,8.99396031532272,4.164605780493354,214.3803886240167,0.6142687757890942,0.5810692198965202,12.878268499999999,13.6384959,0.7602274000000016,13.6384959,0.6430490499494342
K59R_aba,1,0.04794,2000,58.609466350000005,26.83965573859016,4.577771676370648,196.93677930685394,1.9125532043234215,2.0122940750410687,55.664750700000006,61.554182,5.889431299999991,61.554182,2.4784940843764174
K59R_aba,2,0.11505,2000,134.578489,24.312138838861525,12.058663070935843,79.62631008982729,2.724550561108758,2.2167069093664376,137.20209519999997,131.9548828,-5.247212399999967,131.9548828,2.232282118219058
K59R_aba,3,0.20634,2000,105.2455527,15.388833395178953,20.810713432161513,46.92475468657135,2.2464910484479423,1.6092101344325906,101.75131110000001,108.7397943,6.98848319999999,108.7397943,0.8009691138088131
K59R_aba,4,0.31608,2000,36.8199099,11.74690227327447,75.07370029918624,13.232116411412076,3.229302280057186,1.2683769635149873,41.1374772,32.5023426,-8.6351346,32.5023426,2.09195094587068
K59R_aba,5,0.43738,2000,6.92173895,10.924015808562379,17.301226919123863,56.1759031859596,1.4574957200559757,0.9021749744976522,6.3111955,7.5322824,1.2210868999999995,7.5322824,1.0056229747979522
K59R_aba,6,0.56262,2000,-18.663069649999997,9.730958821017694,0.088026818883371,1700.6027070311898,0.23596859230156383,0.3522427119082677,-18.655968,-18.6701713,-0.014203299999998364,-18.6701713,0.32949898511316056
K59R_aba,7,0.68392,2000,-56.51964695,10.413559751090185,7.003748883382958,133.26671981447817,0.9020660937165793,0.6704613781791006,-56.1094135,-56.9298804,-0.8204668999999996,-56.9298804,0.5916986687999405
K59R_aba,8,0.79366,2000,-100.68073665,13.546589920859557,4.48749514403722,200.50144834638004,0.9566899837828404,0.8772412126118349,-100.9410846,-100.4203887,0.5206958999999927,-100.4203887,1.8062059661428747
K59R_aba,9,0.88495,2000,-127.43006265000001,24.812917457913258,24.67501308736078,39.72192572571309,3.9369752386449464,2.2905238167893778,-130.1881214,-124.67200389999999,5.516117500000007,-124.67200389999999,1.9376888808581234
K59R_aba,10,0.95206,2000,-77.40136295,34.08163939008378,39.82179449949583,24.800483520457,6.843691165011492,4.300523348243759,-73.75047140000001,-81.05225449999999,-7.30178309999998,-81.05225449999999,13.10877686324062
K59R_aba,11,0.99078,2000,-8.688137350000002,6.65187568634391,9.685729272213704,98.17657364288715,0.6713363897322772,0.5576400497637685,-7.8604678,-9.515806900000001,-1.6553391000000008,-9.515806900000001,0.9867435032589315
K59R_mandi,0,0.00922,2000,13.92453535,8.53328622424373,2.1294345848388954,380.309898472439,0.4375699592445059,0.481345615748138,14.2004383,13.6486324,-0.5518058999999997,13.6486324,0.7663641025885634
K59R_mandi,1,0.04794,2000,67.36609270000001,26.3118737036218,35.029796948287505,28.1453902327522,4.959616984907566,2.519301220651982,61.4457613,73.2864241,11.840662800000004,73.2864241,2.5920542012949537
K59R_mandi,2,0.11505,2000,103.33924585000001,20.029876411871847,12.156715128176264,79.00944201341856,2.253402502443542,1.6486982507153487,101.28839350000001,105.39009820000001,4.101704699999999,105.39009820000001,2.7617649725802895
K59R_mandi,3,0.20634,2000,70.8837409,11.818783411379098,9.465892531903995,100.34224198170728,1.1798610756825856,0.9000678851244053,69.7237371,72.0437447,2.320007600000011,72.0437447,0.34337315581455397
K59R_mandi,4,0.31608,2000,30.184714849999995,11.346167751236276,16.63248436495627,58.36865096141312,1.4851125643635454,1.0293064233703049,27.870371199999997,32.4990585,4.628687299999999,32.4990585,1.9805568965857174
K59R_mandi,5,0.43738,2000,6.93929,9.890550240138126,1.1311648996936323,613.0588024471476,0.39945640309056035,0.3255476722093822,5.9059099999999995,7.97267,2.0667600000000004,7.97267,0.6237718354983943
K59R_mandi,6,0.56262,2000,-12.93599575,10.079077809667588,0.551759046233085,950.7881140471651,0.32687290744510605,0.35193210897333654,-13.2833784,-12.5886131,0.6947653000000003,-12.5886131,0.5121181411291589
K59R_mandi,7,0.68392,2000,-42.3065763,10.564215919864525,5.139839494197559,177.31001051161667,0.7933606230803181,0.7156321249834269,-41.6585482,-42.954604399999994,-1.2960561999999953,-42.954604399999994,1.000886102595595
K59R_mandi,8,0.79366,2000,-67.87385315000002,16.283529266512733,60.37659337302215,16.426674762703726,4.017664890239067,2.168674888869926,-63.85926070000001,-71.88844560000001,-8.029184900000004,-71.88844560000001,6.353516095797262
K59R_mandi,9,0.88495,2000,-90.6603434,24.248241337061263,19.44437937136363,50.139439356825086,3.4244474732251087,2.1975513697806517,-93.765716,-87.55497079999999,6.210745200000005,-87.55497079999999,1.400180514872401
K59R_mandi,10,0.95206,2000,-58.7232754,26.413166365774245,3.480510446313736,251.224061207044,1.666440649504334,1.917514801777668,-57.630223699999995,-59.8163271,-2.1861034000000075,-59.8163271,1.9758338214405553
K59R_mandi,11,0.99078,2000,-9.671324,6.508407475334999,6.829992969783617,136.4257788680417,0.5572197669276481,0.5480846269358266,-9.051954499999999,-10.290693500000001,-1.2387390000000025,-10.290693500000001,0.6355170211048523
K59R_apo,0,0.00922,2000,12.67174865,8.710301271961399,24.129329453312657,40.60199860071706,1.3669715335061983,0.748498236558972,10.467868699999999,14.8756286,4.407759900000002,14.8756286,0.6427487734724555
K59R_apo,1,0.04794,2000,63.507008,30.400475674735276,4.9378210694441975,183.89718735306062,2.241779201465007,2.0266107621525484,60.0218623,66.99215369999999,6.9702913999999865,66.99215369999999,2.3073037256530013
K59R_apo,2,0.11505,2000,111.5229041,22.59607234687714,3.3369122809053318,260.6262345314933,1.3996643201319652,1.179745579563655,110.9060166,112.1397916,1.2337749999999943,112.1397916,1.9125904557875364
