#Frame   Contacts_00016[native] Contacts_00016[nonnative]
       1                     39                         0
       2                     31                        16
       3                     29                        15
       4                     27                        13
       5                     27                        16
       6                     35                        17
       7                     28                        12
       8                     27                        12
       9                     27                        22
      10                     27                        12
      11                     26                        17
      12                     32                        14
      13                     33                        18
      14                     26                        16
      15                     32                        20
      16                     31                        22
      17                     22                        24
      18                     28                        11
      19                     30                        11
      20                     30                        13
      21                     31                        19
      22                     30                        20
      23                     29                        18
      24                     33                        14
      25                     25                        18
      26                     32                        23
      27                     35                        16
      28                     26                        11
      29                     30                        14
      30                     25                        21
      31                     32                        14
      32                     31                        27
      33                     34                        23
      34                     24                        24
      35                     34                        29
      36                     30                        19
      37                     26                        17
      38                     27                        13
      39                     30                        20
      40                     27                        24
      41                     28                        15
      42                     29                        11
      43                     26                        15
      44                     31                        15
      45                     24                        24
      46                     25                        26
      47                     29                        20
      48                     29                        14
      49                     26                        21
      50                     30                        27
      51                     30                        21
      52                     29                        15
      53                     29                        14
      54                     26                        13
      55                     26                         9
      56                     28                         8
      57                     28                        22
      58                     24                        23
      59                     18                        27
      60                     31                        14
      61                     27                        14
      62                     28                        18
      63                     27                        31
      64                     27                        23
      65                     28                        12
      66                     28                        13
      67                     30                        18
      68                     26                        32
      69                     22                        19
      70                     35                        19
      71                     22                        39
      72                     25                        25
      73                     26                        22
      74                     22                        22
      75                     19                        26
      76                     25                        29
      77                     22                        39
      78                     22                        23
      79                     19                        30
      80                     25                        23
      81                     23                        30
      82                     24                        37
      83                     24                        20
      84                     23                        37
      85                     27                        38
      86                     21                        34
      87                     27                        23
      88                     24                        38
      89                     25                        22
      90                     21                        41
      91                     18                        29
      92                     22                        32
      93                     22                        33
      94                     21                        40
      95                     22                        47
      96                     24                        31
      97                     25                        32
      98                     23                        33
      99                     19                        27
     100                     22                        41
     101                     27                        30
     102                     21                        30
     103                     20                        30
     104                     23                        19
     105                     23                        25
     106                     22                        28
     107                     20                        33
     108                     29                        28
     109                     26                        26
     110                     27                        34
     111                     30                        29
     112                     18                        24
     113                     20                        41
     114                     26                        21
     115                     21                        25
     116                     18                        25
     117                     22                        31
     118                     23                        16
     119                     19                        25
     120                     19                        32
     121                     24                        27
     122                     29                        18
     123                     20                        32
     124                     25                        28
     125                     24                        18
     126                     27                        31
     127                     21                        30
     128                     21                        25
     129                     21                        23
     130                     19                        16
     131                     29                        19
     132                     23                        13
     133                     29                        26
     134                     21                        24
     135                     21                        15
     136                     30                        22
     137                     28                        18
     138                     25                        23
     139                     15                        20
     140                     18                        31
     141                     18                        30
     142                     23                        29
     143                     23                        31
     144                     22                        31
     145                     17                        30
     146                     20                        22
     147                     23                        24
     148                     21                        28
     149                     18                        22
     150                     23                        29
     151                     26                        28
     152                     24                        28
     153                     28                        28
     154                     19                        33
     155                     18                        25
