#Frame            sb1          sb2
       1       4.1101       2.7493
       2       3.2261       2.5832
       3       3.2372       2.9729
       4       4.0190       3.0243
       5       3.5689       2.8952
       6       3.2265       2.6036
       7       2.7644       2.6938
       8       4.1720       2.7515
       9       3.7734       2.5361
      10       2.9802       2.5845
      11       3.7772       2.7517
      12       3.8739       2.6657
      13       3.7438       2.6829
      14       4.0358       2.6450
      15       4.1556       2.7787
      16       4.1459       2.7213
      17       3.6479       2.9731
      18       3.7612       2.7834
      19       3.0567       2.7394
      20       3.0653       2.6599
      21       2.8815       2.7849
      22       3.2503       2.7597
      23       3.3318       2.7724
      24       3.5129       2.6808
      25       3.2498       2.9423
      26       3.2696       2.8267
      27       3.7415       2.6955
      28       3.4166       2.8028
      29       3.1259       2.7681
      30       3.1755       2.7953
      31       3.4284       2.7624
      32       2.7180       2.8189
      33       3.0585       2.7203
      34       3.5027       2.6744
      35       3.1878       2.7492
      36       3.4652       2.7214
      37       2.9727       2.7172
      38       3.0650       2.6302
      39       3.3853       3.0371
      40       2.8697       2.6598
      41       3.2141       2.6951
      42       3.3877       3.0768
      43       3.2132       2.7870
      44       2.8125       2.7644
      45       2.9068       2.6063
      46       3.6645       2.8033
      47       2.8324       2.9107
      48       2.7678       2.8422
      49       3.0014       2.6132
      50       3.0282       2.7791
      51       3.4553       2.9121
      52       3.6649       2.7261
      53       3.1570       2.7094
      54       3.0502       2.7826
      55       2.9469       2.6884
      56       3.7154       2.6903
      57       3.4523       2.7593
      58       2.9858       2.6541
      59       2.9625       2.7992
      60       3.0997       2.8438
      61       3.1612       2.8426
      62       3.7475       2.7286
      63       3.0195       2.9208
      64       3.5443       2.8144
      65       3.7067       2.5834
      66       2.7484       2.7749
      67       3.5793       2.7005
      68       2.8008       2.9132
      69       3.0270       2.8333
      70       3.2283       2.7019
      71       3.0779       2.6080
      72       3.5413       2.6371
      73       3.0664       2.7107
      74       3.2177       2.6113
      75       3.6411       2.6654
      76       2.8811       2.7327
      77       3.0555       2.8403
      78       3.0240       2.7262
      79       3.7067       2.7561
      80       2.9301       2.7001
      81       3.6633       2.6866
      82       2.7836       2.7312
      83       2.8769       2.8568
      84       3.0527       2.9846
      85       2.8762       2.7501
      86       2.8583       2.7176
      87       2.7440       2.9536
      88       3.6458       2.8234
      89       3.4317       2.7435
      90       2.8734       2.6878
      91       3.0748       2.7517
      92       3.3093       2.8380
      93       2.8685       2.6927
      94       3.4247       2.6985
      95       3.2098       2.9406
      96       3.2624       2.7898
      97       2.9480       2.6341
      98       3.3885       2.5919
      99       3.2272       2.7539
     100       3.1484       2.8074
     101       2.6791       2.9907
     102       2.8607       3.0817
     103       3.2437       2.8685
     104       2.7867       3.0336
     105       3.0306       2.7197
     106       2.9935       2.6810
     107       2.6938       2.9589
     108       3.0367       2.6632
     109       3.0789       2.8443
     110       2.9377       2.7936
     111       2.8718       2.7561
     112       2.8810       2.8996
     113       3.3335       2.7778
     114       2.9429       2.7708
     115       4.0060       2.8611
     116       2.8918       2.7586
     117       3.0385       2.7760
     118       2.9477       2.8284
     119       4.1440       2.8659
     120       3.0348       3.0283
     121       2.9137       2.8824
     122       3.0016       3.0196
     123       2.7662       2.8895
     124       2.8730       3.1162
     125       2.8243       2.7101
     126       2.9357       2.7420
     127       3.0568       2.8975
     128       2.8107       3.1763
     129       2.8537       2.9897
     130       3.4544       2.7625
     131       3.6458       2.7438
     132       4.1144       2.7661
     133       3.1063       2.7057
     134       2.7791       2.8089
     135       2.8841       2.8730
     136       2.7797       2.7941
     137       2.7956       2.8140
     138       2.8206       3.0748
     139       3.2699       2.6525
     140       2.7762       3.2395
     141       2.7308       2.9709
     142       2.7906       3.0733
     143       2.8388       3.1105
     144       3.3149       2.7869
     145       3.1227       2.9667
     146       2.7898       2.7564
     147       2.7309       2.7649
     148       2.8417       2.7896
     149       3.2427       2.7933
     150       3.1816       2.7866
     151       3.1778       2.7833
     152       3.1769       2.7082
     153       2.9452       2.7037
     154       3.3174       2.7069
     155       2.6573       2.8194
     156       3.2248       2.9449
     157       3.4478       2.8178
     158       2.9987       2.6523
     159       3.0176       2.9340
     160       2.9016       2.8613
     161       2.7252       3.1283
     162       3.0774       3.0245
     163       3.3406       2.8268
     164       3.0271       2.7984
     165       3.3181       2.7765
     166       2.7254       2.7030
     167       2.9782       2.8395
     168       3.1040       3.0756
     169       3.4989       2.7709
     170       2.8730       2.8151
     171       3.0342       2.7269
     172       2.9530       2.7867
     173       2.9865       2.8069
     174       2.9830       2.6941
     175       2.8653       2.7508
     176       2.8412       2.8230
     177       2.9520       2.8375
     178       2.6684       2.9950
     179       2.9116       3.0749
     180       2.9877       2.9387
     181       3.1753       2.6695
     182       3.3315       2.9411
     183       3.2825       2.8517
     184       3.0771       2.9062
     185       2.9073       2.7315
     186       3.0495       2.9212
     187       2.8513       2.8318
     188       3.3477       3.1068
     189       2.8474       2.7318
     190       3.1499       2.8235
     191       2.8210       2.8301
     192       2.9496       2.9249
     193       3.1770       2.6116
     194       3.1025       2.7122
     195       3.1914       2.7187
     196       2.7971       2.7484
     197       3.0522       2.8388
     198       2.9202       2.7197
     199       2.8569       2.7304
     200       2.9377       2.8140
     201       2.8424       2.7594
     202       3.1767       2.8068
     203       2.9473       2.7242
     204       3.0157       2.7438
     205       2.7248       2.8710
     206       3.1310       2.8628
     207       3.6203       2.7442
     208       3.7220       2.6581
     209       3.7058       2.6929
     210       2.9154       2.7894
     211       3.6695       2.8209
     212       2.9265       2.6004
     213       3.5411       2.8221
     214       3.1538       2.6315
     215       2.7652       2.8732
     216       3.3649       2.8985
     217       3.7352       2.8611
     218       2.8169       2.7626
     219       3.2609       3.0834
     220       3.7922       2.6674
     221       3.1760       2.7543
     222       2.9945       2.8191
     223       2.8892       2.8061
     224       2.8347       2.8786
     225       3.2769       2.6839
     226       3.1480       2.8531
     227       2.5939       2.7185
     228       3.0881       2.8136
     229       3.4234       2.7319
     230       2.7131       2.9092
     231       2.7866       2.9260
     232       2.8243       2.6776
     233       3.0853       2.7058
     234       2.5524       2.8641
     235       3.0988       2.7172
     236       3.0337       2.9559
     237       2.7417       2.8769
     238       2.9342       2.8759
     239       3.2183       2.8318
     240       2.9100       2.7496
     241       3.1617       2.6512
     242       2.9763       2.7320
     243       2.7978       3.0371
     244       2.9035       3.1264
     245       3.1899       3.1383
     246       3.1892       2.7455
     247       3.5112       2.8133
     248       2.9601       2.8417
     249       2.8492       2.7344
     250       2.7995       2.8674
     251       2.6347       2.7740
     252       3.1550       2.7801
     253       3.0634       2.8259
     254       2.9501       3.2039
     255       3.2024       2.7628
     256       2.9013       2.8581
     257       2.8941       2.8588
     258       3.7602       2.6773
     259       2.8813       2.7656
     260       3.4677       2.8137
     261       2.8254       2.8239
     262       3.2721       2.9489
     263       3.8969       2.7817
     264       3.1983       2.6939
     265       3.8384       2.8563
     266       2.7334       2.8697
     267       3.5202       2.7219
     268       2.8578       2.8602
     269       3.3806       2.8360
     270       3.2956       2.8094
     271       2.9245       2.9225
     272       3.3972       2.8607
     273       3.4306       2.6658
     274       3.2146       2.8337
     275       3.0174       2.7294
     276       3.2192       2.7671
     277       2.9062       3.1705
     278       2.8693       2.7753
     279       3.1226       2.7855
     280       2.6770       3.1686
     281       2.7832       3.1247
     282       3.0143       2.6951
     283       2.8285       2.7763
     284       3.3170       2.7742
     285       3.3783       2.7646
     286       3.1316       2.8417
     287       2.8301       2.9961
     288       2.7083       2.9196
     289       2.9739       2.7146
     290       3.2315       2.7371
     291       3.2554       2.8308
     292       3.0748       2.7220
     293       3.4440       2.8439
     294       3.7314       2.8297
     295       3.7609       2.7885
     296       3.8159       2.8479
     297       2.8230       2.9309
     298       3.4841       2.6841
     299       3.6037       2.9673
     300       3.0134       2.8663
     301       2.9909       2.9445
     302       2.9578       2.7985
     303       3.0836       2.9485
     304       3.1327       2.7937
     305       3.8819       2.6410
     306       4.1907       2.7701
     307       3.8734       2.6922
     308       3.6167       2.5202
     309       4.1114       2.7425
     310       3.9679       2.7088
     311       4.1417       2.8602
     312       3.9020       2.6274
     313       3.0387       2.8221
     314       4.1458       2.7471
     315       3.6351       2.6074
     316       3.7954       2.7794
     317       4.0975       2.7153
     318       3.5951       2.8599
     319       3.9837       2.6756
     320       4.3795       2.7899
     321       3.9370       2.7722
     322       3.9768       2.8649
     323       3.4143       2.7042
     324       4.2447       2.8611
     325       3.9446       2.7481
     326       4.3141       2.7076
     327       4.3955       2.5573
     328       4.7833       2.8342
     329       4.5772       2.8442
     330       4.6556       2.8077
     331       4.5706       2.8011
     332       4.6199       2.8354
     333       4.7008       2.8324
     334       4.6247       2.6627
     335       4.6365       2.6888
     336       4.6003       2.9171
     337       4.6715       2.9029
     338       4.2544       2.8361
     339       4.2570       2.6374
     340       4.5859       2.6615
     341       4.5802       2.6872
     342       4.6601       2.7161
     343       4.4873       2.6574
     344       4.6892       2.6996
     345       4.6218       2.7356
     346       4.5744       2.8587
     347       4.4872       2.9593
     348       4.5414       2.7929
     349       4.6574       2.7334
     350       4.3858       2.6380
     351       4.5984       2.6313
     352       4.3844       2.6641
     353       5.0246       2.9070
     354       4.7291       2.7462
     355       4.3696       2.6780
     356       4.8252       2.6912
     357       4.6574       2.7926
     358       4.6925       2.7336
     359       4.5655       2.8339
     360       4.8004       2.7937
     361       4.4168       2.8533
     362       4.5904       2.7998
     363       4.6141       2.6747
     364       4.8287       2.7864
     365       4.8393       2.7729
     366       4.6403       2.6502
     367       4.6401       2.6482
     368       4.3932       2.6619
     369       4.4255       2.7610
     370       4.4735       2.6341
     371       4.5049       2.7950
     372       4.6731       2.7035
     373       4.8580       2.6669
     374       4.3573       2.7443
     375       4.4188       2.6530
     376       4.5794       2.7088
     377       4.6307       2.7320
     378       4.4275       2.7753
     379       4.5486       2.7066
     380       4.5033       2.6926
     381       4.6546       2.7497
     382       4.6503       2.6516
     383       4.4433       2.8438
     384       4.4786       2.8040
     385       4.5873       2.6181
     386       4.7344       2.9914
     387       4.3175       2.7039
     388       4.7139       2.7028
     389       4.6526       2.7108
     390       4.8025       2.7958
     391       4.6828       2.7013
     392       4.4762       2.7355
     393       4.7029       2.7512
     394       4.7020       2.6202
     395       4.5022       2.8313
     396       4.8231       2.7575
     397       4.4451       2.5452
     398       4.6805       2.6855
     399       4.4503       2.6540
     400       4.8392       2.8651
     401       4.9040       2.9273
     402       4.8651       2.9031
     403       4.5997       2.6893
     404       4.5931       2.8753
     405       4.8177       2.8407
     406       4.7670       2.6933
     407       4.8225       2.6332
     408       4.7926       2.8850
     409       4.5201       2.7836
     410       4.5471       2.7200
     411       4.5491       2.8593
     412       4.6380       2.6173
     413       4.6793       2.6609
     414       4.5317       2.7380
     415       4.4214       2.6971
     416       4.6831       2.6695
     417       4.6104       2.8965
     418       4.4405       2.6052
     419       4.5166       2.6004
     420       4.6153       2.6997
     421       4.5302       2.7166
     422       4.5777       2.7385
     423       4.5048       2.7305
     424       4.5050       2.7435
     425       4.6859       3.0269
     426       4.7124       2.8287
     427       4.3943       2.6027
     428       4.3981       2.6440
     429       4.5905       2.7478
     430       4.5314       2.7720
     431       4.6743       2.7932
     432       4.7256       2.6231
     433       4.3802       2.6681
     434       4.7724       2.7652
     435       4.7043       2.7131
     436       4.5495       2.7866
     437       4.5714       2.7233
     438       4.3737       2.6381
     439       4.7408       2.9360
     440       4.6589       2.9573
     441       4.6791       2.6045
     442       4.6095       2.6872
     443       4.2259       2.7126
     444       4.3952       2.7952
     445       4.6456       2.7796
     446       4.6686       2.7667
     447       4.5029       2.8412
     448       4.6668       2.7099
     449       4.3849       2.8011
     450       4.7599       2.7675
     451       4.4729       2.8193
     452       4.4528       2.7220
     453       4.4414       2.6513
     454       4.5331       2.7380
     455       4.6315       2.6990
     456       4.5304       2.7496
     457       4.6283       2.7034
     458       4.5638       2.7651
     459       4.2557       2.7632
     460       4.3007       2.6682
     461       4.6132       2.7430
     462       4.6658       2.6978
     463       4.4154       2.8639
     464       4.6388       2.7630
     465       4.5682       2.8211
     466       4.3015       2.6525
     467       4.7065       2.8044
     468       4.5894       2.7126
     469       4.5675       2.9191
     470       4.5713       2.7387
     471       4.5540       2.7187
     472       4.3312       2.8048
     473       4.1146       2.7241
     474       4.4637       2.7745
     475       4.4221       2.6353
     476       4.5949       2.8318
     477       4.1884       2.7117
     478       4.4245       2.6971
     479       4.8231       2.9379
     480       4.2849       2.8933
     481       4.4296       2.7825
     482       4.6144       2.7762
     483       4.6385       2.8727
     484       4.5267       2.8408
     485       4.4531       2.7124
     486       4.6107       2.7223
     487       4.5512       2.7086
     488       4.4018       2.6786
     489       4.3484       2.6280
     490       4.8419       3.0010
     491       4.5675       2.7607
     492       4.4934       2.7126
     493       4.4607       2.7389
     494       4.5042       2.7740
     495       4.5060       2.7015
     496       4.7486       2.7891
     497       4.6287       2.6871
     498       4.4194       2.5991
     499       4.3092       2.6700
     500       4.1974       2.6101
     501       4.1222       2.6681
     502       4.4777       2.7428
     503       4.6583       2.6349
     504       4.4597       2.7957
     505       4.5999       2.7123
     506       4.2530       2.8394
     507       4.5548       2.6700
     508       4.7398       2.7070
     509       4.7123       2.6822
     510       4.7457       2.7563
     511       4.6461       2.8834
     512       4.4830       2.7837
     513       4.7396       2.8894
     514       4.5071       2.7112
     515       4.6919       2.8112
     516       4.7582       2.8232
     517       4.6481       2.8072
     518       4.4491       2.7307
