name,hit,heavy_atoms,mw,length_A,npr1,npr2,asphericity,shape_class
"Butylparaben",1,14,194.2,8.92,0.175,0.882,0.564,ROD
"Dibutyl phthalate",1,20,278.3,8.55,0.534,0.713,0.132,DISC
"Ethylparaben",1,12,166.2,8.33,0.130,0.899,0.659,ROD
"Eugenol",1,12,164.2,7.36,0.293,0.749,0.370,ROD
"Methyl 4-hydroxybenzoate",1,11,152.1,7.70,0.136,0.864,0.648,ROD
"Orsellinic Acid, Ethyl Ester",1,14,196.2,8.27,0.256,0.809,0.421,ROD
"Propylparaben",1,13,180.2,8.51,0.159,0.856,0.597,ROD
"3-n-Butylphathlide",1,14,190.2,7.51,0.329,0.721,0.325,ROD
"Thioxolone",1,11,168.2,7.00,0.198,0.802,0.524,ROD
"Tioxolone",1,11,168.2,7.00,0.198,0.802,0.524,ROD
"Flufenamic acid",1,20,281.2,9.75,0.250,0.864,0.428,ROD
"Flunixin Meglumin",1,21,296.2,8.40,0.340,0.881,0.302,ROD
"Mefenamic Acid",1,18,241.3,9.13,0.266,0.889,0.404,ROD
"Cyclandelate",1,20,276.4,8.12,0.475,0.846,0.162,DISC
"2-Hydroxy-9-Fluorenone",1,15,196.2,8.22,0.221,0.779,0.484,ROD
"2-Hydroxybenzophenone (10x)",1,15,198.2,7.57,0.233,0.842,0.458,ROD
"2-Hydroxychalcone",1,17,224.3,9.20,0.196,0.900,0.525,ROD
"3-Phenylphenol",1,13,170.2,7.50,0.172,0.894,0.571,ROD
"4-Hydroxybenzophenone",1,15,198.2,8.82,0.171,0.884,0.573,ROD
"Phenazine methosulfate",1,15,195.2,7.33,0.231,0.771,0.467,ROD
"6-Benzoyl-2-Naphthol",1,19,248.3,11.17,0.114,0.930,0.697,ROD
"Anthracene-9-Carboxylic Acid",1,17,222.2,7.50,0.383,0.662,0.274,DISC
"Anthrone",1,15,194.2,7.54,0.222,0.778,0.481,ROD
"Benzophenone",1,14,182.2,7.55,0.204,0.866,0.509,ROD
"2-Naphthol",1,11,144.2,6.39,0.204,0.796,0.512,ROD
"Cinchophen",1,19,249.3,9.18,0.277,0.752,0.393,ROD
"1,8-Dihydroxyanthraquinone",1,18,240.2,7.53,0.334,0.666,0.333,DISC
"Danthron",1,18,240.2,7.53,0.334,0.666,0.333,DISC
"2,2′-Dihydroxy-4-methoxybenzophenone",1,18,244.2,9.24,0.239,0.863,0.446,ROD
"Flavone",1,17,222.2,9.18,0.182,0.818,0.554,ROD
"Oxcarbazepine",1,19,252.3,7.20,0.515,0.693,0.148,DISC
"Etofibrate",1,25,363.8,12.53,0.206,0.903,0.506,ROD
"Menadiol Diacetate",1,19,258.3,9.75,0.361,0.772,0.277,DISC
"Isopsoralen",1,14,186.2,6.99,0.243,0.757,0.449,ROD
"Bergapten",1,16,216.2,8.08,0.279,0.738,0.392,ROD
"Carbaryl",1,15,201.2,7.96,0.277,0.800,0.388,ROD
"Citropten",1,15,206.2,7.65,0.361,0.639,0.308,DISC
"Khellin",1,19,260.2,8.22,0.425,0.590,0.259,DISC
