name,hit,heavy_atoms,mw,length_A,npr1,npr2,asphericity,shape_class
"Carbadox",0,19,262.2,12.11,0.115,0.885,0.694,ROD
"Carbamazepine",0,18,236.3,7.23,0.450,0.741,0.189,DISC
"Carbazochrome",0,17,236.2,9.42,0.159,0.863,0.598,ROD
"Carbazochrome sodium sulfonate (AC-17)",0,20,300.3,11.02,0.143,0.931,0.632,ROD
"Carbendazim",0,14,191.2,9.14,0.101,0.899,0.727,ROD
"Carbenicillin disodium",0,26,378.4,11.16,0.296,0.887,0.361,ROD
"Carbenoxolone Sodium",0,41,570.8,17.00,0.135,0.942,0.650,ROD
"Carbetamide",0,18,271.3,8.97,0.409,0.766,0.225,DISC
"Carbetapentane",0,24,333.5,9.82,0.406,0.782,0.226,DISC
"Carbidopa",0,16,226.2,8.94,0.195,0.948,0.530,ROD
"CarbinoxaMine Maleate",0,20,290.8,9.66,0.300,0.785,0.355,ROD
"Carboprost",0,26,368.5,12.37,0.382,0.857,0.250,DISC
"Carglumic Acid",0,13,190.2,6.50,0.455,0.720,0.189,DISC
"Cariprazine HCl",0,28,427.4,10.84,0.346,0.783,0.294,ROD
"Carmofur",0,18,257.3,11.23,0.193,0.835,0.531,ROD
"Carmustine",0,12,214.1,7.73,0.281,0.830,0.380,ROD
"Carprofen",0,19,273.7,10.76,0.111,0.949,0.705,ROD
"Carprofen",0,19,273.7,10.76,0.111,0.949,0.705,ROD
"Carteolol HCl",0,21,292.4,9.69,0.314,0.821,0.333,ROD
"Carvacrol",0,11,150.2,6.58,0.256,0.849,0.418,ROD
"Carvedilol",0,30,406.5,9.79,0.529,0.890,0.124,DISC
"Carvedilol Phosphate",0,30,406.5,9.79,0.529,0.890,0.124,DISC
"Caryophyllene oxide",0,16,220.4,6.73,0.425,0.764,0.209,DISC
"Carzenide",0,13,201.2,7.58,0.133,0.926,0.653,ROD
"Casticin",0,27,374.3,13.52,0.206,0.831,0.506,ROD
"Catalpol",0,25,362.3,10.51,0.251,0.847,0.428,ROD
"Catharanthine",0,25,336.4,9.79,0.353,0.874,0.285,DISC
"Catharanthine hemitartrate",0,25,336.4,9.79,0.353,0.874,0.285,DISC
"CB-5083",0,31,413.5,11.74,0.345,0.714,0.305,ROD
"Cefaclor",0,24,367.8,10.07,0.284,0.870,0.376,ROD
"Cefadroxil hydrate",0,25,363.4,10.91,0.292,0.853,0.363,ROD
"Cefamandole nafate",0,33,490.5,13.52,0.269,0.937,0.405,ROD
"Cefathiamidine",0,31,472.6,13.40,0.269,0.903,0.402,ROD
"Cefazedone",0,33,548.5,12.87,0.366,0.895,0.271,DISC
"Cefazolin",0,29,454.5,8.87,0.548,0.745,0.117,DISC
"Cefazolin Sodium",0,29,454.5,8.87,0.548,0.745,0.117,DISC
"Cefcapene Pivoxil Hydrochloride",0,30,453.5,13.12,0.320,0.966,0.337,ROD
"Cefdinir",0,26,395.4,10.78,0.352,0.882,0.287,DISC
"Cefditoren Pivoxil",0,41,620.7,17.05,0.281,0.821,0.380,ROD
"Cefepime Dihydrochloride Monohydrate",0,32,480.6,14.61,0.186,0.921,0.545,ROD
"Cefetamet pivoxil hydrochloride",0,26,397.4,12.61,0.234,0.865,0.456,ROD
"Cefixime",0,30,453.5,14.13,0.309,0.846,0.340,ROD
"Cefmenoxime hydrochloride",0,33,511.6,12.80,0.363,0.739,0.278,DISC
"Cefmetazole sodium",0,30,471.5,14.50,0.223,0.968,0.483,ROD
"Cefminox Sodium",0,33,519.6,12.61,0.333,0.878,0.310,ROD
"Cefodizime",0,37,584.7,13.65,0.274,0.894,0.392,ROD
"Cefodizime Sodium",0,37,584.7,13.65,0.274,0.894,0.392,ROD
"Cefonicid sodium",0,35,542.6,12.96,0.344,0.845,0.295,ROD
"Cefoperazone",0,44,645.7,16.63,0.249,0.908,0.433,ROD
"Cefoperazone sodium",0,44,645.7,16.63,0.249,0.908,0.433,ROD
"Ceforanide",0,35,519.6,12.63,0.371,0.830,0.263,DISC
"Cefoselis Sulfate",0,35,522.6,11.41,0.506,0.795,0.140,DISC
"Cefotaxime",0,30,455.5,15.19,0.144,0.962,0.633,ROD
"Cefotaxime sodium",0,30,455.5,15.19,0.144,0.962,0.633,ROD
"Cefotiam Hexetil Hydrochloride",0,34,525.6,13.24,0.309,0.920,0.345,ROD
"Cefotiam hydrochloride",0,34,525.6,13.24,0.309,0.920,0.345,ROD
"Cefoxitin",0,28,427.5,12.64,0.289,0.840,0.368,ROD
"Cefoxitin sodium",0,28,427.5,12.64,0.289,0.840,0.368,ROD
"Cefozopran hydrochloride",0,35,515.5,16.03,0.156,0.927,0.606,ROD
"Cefpiramide acid",0,42,612.7,13.14,0.513,0.788,0.135,DISC
"Cefpiramide sodium",0,42,612.7,13.14,0.513,0.788,0.135,DISC
"Cefpirome sulfate",0,35,514.6,12.08,0.505,0.896,0.141,DISC
"Cefpodoxime proxetil",0,37,557.6,14.41,0.322,0.836,0.322,ROD
"Cefradine",0,24,349.4,12.58,0.137,0.929,0.645,ROD
"Cefsulodin sodium",0,36,532.6,14.37,0.253,0.881,0.424,ROD
"Ceftaroline Fosamil",0,43,684.7,15.40,0.214,0.890,0.490,ROD
"Ceftazidime",0,37,546.6,13.18,0.297,0.879,0.358,ROD
"Ceftazidime Pentahydrate",0,37,546.6,13.18,0.297,0.879,0.358,ROD
"Ceftezole",0,28,440.5,8.53,0.563,0.785,0.104,SPHERE
"Ceftezole sodium",0,28,440.5,8.53,0.563,0.785,0.104,SPHERE
"Ceftibuten dihydrate",0,27,410.4,11.82,0.362,0.812,0.273,DISC
"Ceftiofur",0,34,523.6,16.60,0.189,0.939,0.541,ROD
"Ceftiofur HCl",0,34,523.6,16.60,0.189,0.939,0.541,ROD
"Ceftiofur sodium",0,34,523.6,16.60,0.189,0.939,0.541,ROD
"Ceftizoxime",0,25,383.4,12.21,0.245,0.847,0.436,ROD
"Ceftizoxime sodium",0,25,383.4,12.21,0.245,0.847,0.436,ROD
"Ceftriaxone Sodium",0,36,554.6,16.38,0.165,0.918,0.587,ROD
"Ceftriaxone Sodium Trihydrate",0,36,554.6,16.38,0.165,0.918,0.587,ROD
"Cefuroxime axetil",0,35,510.5,12.83,0.371,0.832,0.263,DISC
"Cefuroxime sodium",0,29,424.4,13.10,0.235,0.846,0.453,ROD
"Celecoxib",0,26,381.4,11.03,0.359,0.692,0.294,DISC
"Celiprolol hydrochloride",0,27,379.5,14.46,0.143,0.962,0.634,ROD
"Centrophenoxine Hydrochloride",0,17,257.7,7.67,0.338,0.796,0.303,ROD
"Cephalexin",0,24,347.4,12.54,0.138,0.933,0.644,ROD
"Cephalothin",0,26,396.4,13.62,0.204,0.971,0.517,ROD
"Cephapirin Benzathine",0,28,423.5,13.64,0.258,0.939,0.421,ROD
"Cephapirin Sodium",0,28,423.5,13.64,0.258,0.939,0.421,ROD
"Cepharanthine",0,45,606.7,12.29,0.486,0.739,0.160,DISC
"Cephradine monohydrate",0,24,349.4,12.58,0.137,0.929,0.645,ROD
"Ceritinib (LDK378)",0,38,558.1,15.30,0.234,0.921,0.458,ROD
"Ceritinib dihydrochloride",0,38,558.1,15.30,0.234,0.921,0.458,ROD
"Cetilistat",0,29,401.6,15.44,0.228,0.864,0.466,ROD
"Cetirizine DiHCl",0,27,388.9,12.16,0.236,0.832,0.453,ROD
"Cetrimonium Bromide",0,20,284.6,12.65,0.221,0.870,0.478,ROD
"Cetrimonium Bromide (CTAB)",0,20,284.6,12.65,0.221,0.870,0.478,ROD
"Cetylpyridinium Chloride",0,22,304.5,11.00,0.293,0.789,0.365,ROD
"Cetylpyridinium Chloride",0,22,304.5,11.00,0.293,0.789,0.365,ROD
"Cetylpyridinium chloride monohydrate",0,22,304.5,11.00,0.293,0.789,0.365,ROD
"Cevimeline",0,13,199.3,6.55,0.302,0.902,0.352,ROD
"Chaulmoogric Acid, Ethyl Ester",0,22,308.5,15.94,0.099,0.943,0.732,ROD
"Chelerythrine Chloride",0,26,348.4,13.37,0.121,0.891,0.681,ROD
"Chenodeoxycholic Acid",0,28,392.6,15.01,0.126,0.942,0.670,ROD
"Chloramine-T",0,2,51.5,1.76,0.000,1.000,1.000,ROD
"Chloramphenicol",0,20,323.1,9.64,0.350,0.788,0.288,DISC
"Chloramphenicol",0,20,323.1,9.64,0.350,0.788,0.288,DISC
"Chloramphenicol",0,20,323.1,9.64,0.350,0.788,0.288,DISC
"Chloramphenicol sodium succinate",0,20,323.1,9.64,0.350,0.788,0.288,DISC
"Chloranil",0,12,245.9,6.33,0.370,0.630,0.301,DISC
"Chlorhexidine",0,34,505.5,19.89,0.143,0.895,0.631,ROD
"Chlorhexidine",0,34,505.5,19.89,0.143,0.895,0.631,ROD
"Chlorhexidine diacetate",0,34,505.5,19.89,0.143,0.895,0.631,ROD
"Chlorhexidine?2HCl",0,34,505.5,19.89,0.143,0.895,0.631,ROD
"Chlormezanone",0,17,273.7,8.22,0.286,0.856,0.373,ROD
"Chloroambucil",0,19,304.2,10.59,0.219,0.974,0.491,ROD
"Chlorobutanol",0,8,177.5,4.20,0.843,0.991,0.012,SPHERE
"Chlorogenic Acid",0,25,354.3,12.02,0.216,0.900,0.487,ROD
"Chloroprocaine HCl",0,18,270.8,10.64,0.277,0.970,0.397,ROD
"Chloropyramine hydrochloride",0,20,289.8,8.71,0.414,0.688,0.233,DISC
"Chloroquine",0,22,319.9,11.74,0.196,0.915,0.526,ROD
"Chloroquine Phosphate",0,22,319.9,11.74,0.196,0.915,0.526,ROD
"Chlorotetracycline",0,33,478.9,11.61,0.302,0.946,0.358,ROD
"Chlorothiazide",0,17,295.7,7.58,0.281,0.797,0.381,ROD
"Chlorotrianisene",0,27,380.9,13.57,0.341,0.733,0.307,ROD
"Chloroxine",0,13,214.1,6.73,0.409,0.591,0.275,DISC
"Chlorphenesin",0,13,202.6,8.66,0.092,0.954,0.751,ROD
"Chlorpheniramine Maleate",0,19,274.8,8.95,0.303,0.858,0.349,ROD
"Chlorpromazine",0,21,318.9,9.26,0.494,0.534,0.231,DISC
"Chlorpromazine",0,21,318.9,9.26,0.494,0.534,0.231,DISC
"Chlorpromazine HCl",0,21,318.9,9.26,0.494,0.534,0.231,DISC
"Chlorpropamide",0,17,276.7,8.37,0.385,0.735,0.254,DISC
"Chlorprothixene",0,21,315.9,8.88,0.516,0.766,0.135,DISC
"Chlorprothixene hydrochloride",0,21,315.9,8.88,0.516,0.766,0.135,DISC
"Chlorquinaldol",0,14,228.1,7.50,0.410,0.590,0.274,DISC
"Chlortetracycline HCl",0,33,478.9,11.61,0.302,0.946,0.358,ROD
"Chlortetracycline Hcl",0,33,478.9,11.61,0.302,0.946,0.358,ROD
"Chlorthal-Dimethyl",0,18,332.0,9.40,0.414,0.671,0.239,DISC
"Chlorthalidone",0,22,338.8,9.67,0.246,0.953,0.442,ROD
"Chlorzoxazone",0,11,169.6,7.34,0.124,0.876,0.673,ROD
"cholecalciferol (Vitamin D3)",0,28,384.6,15.35,0.131,0.969,0.661,ROD
"Cholesterol",0,28,386.7,11.77,0.351,0.767,0.289,DISC
"Cholic acid",0,29,408.6,14.22,0.165,0.933,0.587,ROD
"Cholic Acid",0,29,408.6,14.22,0.165,0.933,0.587,ROD
"Choline bitartrate",0,7,104.2,4.43,0.360,0.952,0.285,DISC
"Choline Chloride",0,7,104.2,4.43,0.360,0.952,0.285,DISC
"Choline Fenofibrate",0,22,318.8,11.86,0.181,0.873,0.553,ROD
"Choline Glycerophosphate",0,16,257.2,10.82,0.139,0.976,0.646,ROD
"Chondroitin sulfate",0,35,531.5,13.06,0.300,0.809,0.353,ROD
"Chromocarb",0,14,190.2,7.40,0.261,0.739,0.421,ROD
"Ciclesonide",0,39,540.7,14.11,0.419,0.754,0.216,DISC
"Ciclopirox",0,15,207.3,7.92,0.293,0.828,0.363,ROD
"Ciclopirox ethanolamine",0,15,207.3,7.92,0.293,0.828,0.363,ROD
"Cidofovir",0,18,279.2,8.99,0.269,0.880,0.400,ROD
"Cilastatin",0,24,358.5,11.60,0.319,0.797,0.327,ROD
"Cilengitide?trifluoroacetate",0,42,588.7,14.41,0.500,0.752,0.148,DISC
"Cilnidipine",0,36,492.5,16.30,0.255,0.919,0.424,ROD
"Cilostazol",0,27,369.5,11.26,0.312,0.815,0.337,ROD
"Cimetidine",0,17,252.3,7.91,0.493,0.864,0.149,DISC
"Cimifugin",0,22,306.3,10.80,0.217,0.818,0.487,ROD
"Cinchocaine",0,25,343.5,10.81,0.440,0.712,0.204,DISC
"Cinchonidine",0,22,294.4,8.66,0.310,0.962,0.350,ROD
"Cinchonine(LA40221)",0,22,294.4,9.96,0.260,0.926,0.417,ROD
"Cinepazide maleate",0,30,417.5,15.56,0.124,0.933,0.674,ROD
"Cinitapride Hydrogen Tartrate",0,29,402.5,14.00,0.154,0.884,0.607,ROD
"Cinnamaldehyde",0,10,132.2,7.13,0.104,0.896,0.720,ROD
"Cinnamic acid",0,11,148.2,7.52,0.105,0.915,0.718,ROD
"Cinnamyl acetate",0,10,134.2,7.32,0.108,0.935,0.710,ROD
"Cinnarizine",0,28,368.5,11.35,0.377,0.884,0.257,DISC
"Cinoxacin",0,19,262.2,9.03,0.257,0.789,0.420,ROD
"Ciprofibrate",0,18,289.2,10.39,0.153,0.976,0.615,ROD
"Ciprofloxacin hydrochloride",0,24,331.3,11.47,0.223,0.815,0.476,ROD
"Ciprofloxacin hydrochloride hydrate",0,24,331.3,11.47,0.223,0.815,0.476,ROD
"cis-Aconitic acid",0,12,174.1,6.94,0.282,0.886,0.380,ROD
"cis-Anethole",0,11,148.2,7.29,0.157,0.923,0.603,ROD
"Cisapride",0,32,466.0,12.23,0.392,0.683,0.257,DISC
"Cisapride hydrate",0,32,466.0,13.59,0.221,0.847,0.477,ROD
"Citalopram HBr",0,24,324.4,10.82,0.446,0.788,0.188,DISC
"Citicholine",0,31,488.3,12.09,0.312,0.903,0.339,ROD
"Citicoline sodium",0,31,488.3,12.09,0.312,0.903,0.339,ROD
"Citiolone",0,10,159.2,6.34,0.214,0.817,0.492,ROD
"Citral",0,11,152.2,8.14,0.201,0.935,0.518,ROD
"Citric acid",0,13,192.1,5.42,0.688,0.741,0.057,SPHERE
"Citric acid trilithium salt tetrahydrate",0,13,192.1,5.42,0.688,0.741,0.057,SPHERE
"Citronellal",0,11,154.3,6.98,0.222,0.909,0.478,ROD
"Citronellyl acetate",0,14,198.3,7.37,0.366,0.809,0.268,DISC
"Cladribine",0,19,285.7,9.96,0.209,0.857,0.499,ROD
"Clarithromycin",0,52,748.0,13.93,0.531,0.670,0.144,DISC
"Clascoterone",0,29,402.5,11.68,0.266,0.947,0.410,ROD
"Clebopride (malate)",0,26,373.9,13.70,0.144,0.920,0.630,ROD
"Clemastine",0,24,343.9,9.73,0.528,0.639,0.156,DISC
"Clemastine Fumarate",0,24,343.9,9.73,0.528,0.639,0.156,DISC
"Clemizole",0,23,325.8,10.57,0.356,0.735,0.287,DISC
"Clevidipine Butyrate",0,30,456.3,11.75,0.444,0.756,0.193,DISC
"Clevudine",0,18,260.2,8.42,0.282,0.925,0.384,ROD
"Clidinium Bromide",0,26,352.5,9.47,0.428,0.792,0.205,DISC
"Climbazole",0,20,292.8,9.79,0.264,0.858,0.406,ROD
"Clindamycin",0,27,425.0,12.75,0.336,0.948,0.313,ROD
"Clindamycin alcoholate",0,27,425.0,12.75,0.336,0.948,0.313,ROD
"Clindamycin HCl",0,27,425.0,12.75,0.336,0.948,0.313,ROD
"Clindamycin palmitate HCl",0,44,663.4,13.63,0.605,0.903,0.081,SPHERE
"Clindamycin Phosphate",0,31,505.0,10.73,0.516,0.705,0.145,DISC
"Clinofibrate",0,34,468.6,14.26,0.208,0.878,0.501,ROD
"Clioquinol",0,13,305.5,7.10,0.250,0.750,0.437,ROD
"Clobetasol propionate",0,32,467.0,11.58,0.302,0.971,0.362,ROD
"clobetasone butyrate",0,33,479.0,13.20,0.253,0.898,0.425,ROD
"Clodronate Disodium",0,11,244.9,5.62,0.628,0.929,0.072,SPHERE
"Clodronate disodium tetrahydrate",0,11,244.9,5.62,0.628,0.929,0.072,SPHERE
"Clofarabine",0,20,303.7,9.54,0.264,0.802,0.408,ROD
"Clofazimine",0,33,473.4,13.75,0.288,0.791,0.371,ROD
"Clofibrate",0,16,242.7,8.17,0.286,0.883,0.373,ROD
"Clofibric Acid",0,14,214.6,8.18,0.162,0.933,0.593,ROD
"Clofibric Acid",0,14,214.6,8.18,0.162,0.933,0.593,ROD
"Clofoctol",0,24,365.3,12.61,0.242,0.921,0.446,ROD
"Clomifene citrate",0,29,406.0,14.69,0.191,0.934,0.536,ROD
"Clonidine HCl",0,14,230.1,7.16,0.478,0.655,0.186,DISC
"Clonixin",0,18,262.7,9.09,0.235,0.886,0.454,ROD
"Clopamide",0,22,345.9,11.39,0.150,0.932,0.618,ROD
"Cloperastine hydrochloride",0,23,329.9,10.10,0.486,0.641,0.184,DISC
"Clopidol",0,11,192.0,6.06,0.318,0.682,0.350,DISC
"Clopyralid",0,11,192.0,6.17,0.293,0.713,0.378,ROD
"Clorgyline HCl",0,17,272.2,9.83,0.242,0.875,0.443,ROD
"Clorprenaline HCl",0,14,213.7,7.90,0.288,0.843,0.370,ROD
"Clorsulon",0,20,380.7,9.25,0.335,0.895,0.308,ROD
"Closantel",0,30,663.1,16.47,0.175,0.879,0.564,ROD
"Closantel Sodium",0,30,663.1,15.17,0.185,0.908,0.545,ROD
"Clotrimazole",0,25,344.8,7.69,0.873,0.960,0.006,SPHERE
"Clotrimazole",0,25,344.8,7.69,0.873,0.960,0.006,SPHERE
"Clotrimazole",0,25,344.8,7.69,0.873,0.960,0.006,SPHERE
"Cloxacillin Sodium",0,29,435.9,12.85,0.190,0.953,0.540,ROD
"Cloxiquine",0,12,179.6,5.86,0.387,0.613,0.288,DISC
"Clozapine",0,23,326.8,10.11,0.373,0.706,0.274,DISC
"Clozapine N-oxide",0,23,326.8,10.11,0.373,0.706,0.274,DISC
"Cobicistat (GS-9350)",0,54,776.0,14.99,0.468,0.838,0.168,DISC
"Cobimetinib (GDC-0973, RG7420)",0,30,531.3,10.48,0.387,0.733,0.252,DISC
"Colchicine",0,29,399.4,11.19,0.423,0.702,0.222,DISC
"Colchicine",0,29,399.4,11.19,0.423,0.702,0.222,DISC
"Coluracetam",0,25,341.4,9.19,0.416,0.700,0.229,DISC
"Congo Red",0,46,652.7,17.32,0.149,0.938,0.620,ROD
"Conivaptan HCl",0,38,498.6,14.59,0.208,0.931,0.504,ROD
"Corticosterone",0,25,346.5,12.27,0.166,0.940,0.586,ROD
"Cortisone",0,26,362.5,12.45,0.179,0.941,0.560,ROD
"Cortisone acetate",0,29,402.5,14.21,0.166,0.975,0.589,ROD
"Corydaline",0,27,369.5,13.99,0.148,0.881,0.621,ROD
"Costunolide",0,17,232.3,7.49,0.348,0.785,0.291,ROD
"Coumarin",0,11,146.1,6.26,0.218,0.782,0.488,ROD
"Coumarin",0,11,146.1,6.26,0.218,0.782,0.488,ROD
"CP21R7 (CP21)",0,24,317.3,9.67,0.473,0.675,0.184,DISC
"CP55940",0,27,376.6,14.05,0.268,0.800,0.401,ROD
"Cr 2945",0,39,526.7,14.29,0.377,0.754,0.260,DISC
"Creatine",0,9,131.1,5.05,0.388,0.864,0.245,DISC
"Creatine monohydrate",0,9,131.1,5.05,0.388,0.864,0.245,DISC
"Creatine phosphate disodium salt",0,9,131.1,5.05,0.388,0.864,0.245,DISC
"Creatinine",0,8,113.1,4.75,0.304,0.710,0.362,ROD
"Crisaborole (AN2728)",0,19,251.0,11.40,0.147,0.997,0.632,ROD
"Crizotinib (PF-02341066)",0,30,450.3,13.35,0.229,0.912,0.466,ROD
"Crizotinib hydrochloride",0,30,450.3,13.35,0.229,0.912,0.466,ROD
"Crystal Violet",0,28,372.5,11.84,0.514,0.552,0.206,DISC
"Curculigoside",0,33,466.4,11.28,0.486,0.681,0.172,DISC
"Curcumin",0,27,368.4,15.05,0.154,0.861,0.607,ROD
"Cyclizine",0,20,266.4,9.00,0.473,0.648,0.192,DISC
"Cyclizine 2HCl",0,20,266.4,9.00,0.473,0.648,0.192,DISC
"Cyclo (-RGDfK)",0,50,717.7,13.50,0.552,0.922,0.112,SPHERE
"Cyclo(RGDyK)",0,44,619.7,14.67,0.571,0.798,0.099,SPHERE
"Cyclobenzaprine HCl",0,21,275.4,9.62,0.378,0.790,0.256,DISC
"Cyclocytidine HCl",0,16,225.2,8.50,0.265,0.844,0.405,ROD
"Cyclofenil",0,27,364.4,13.69,0.299,0.764,0.358,ROD
"Cycloheximide",0,20,281.4,10.85,0.164,0.887,0.587,ROD
"Cyclopentolate Hydrochloride",0,21,291.4,9.76,0.403,0.761,0.231,DISC
"Cyclophosphamide Monohydrate",0,14,261.1,7.56,0.450,0.723,0.192,DISC
"Cyclothiazide",0,24,389.9,10.44,0.250,0.924,0.432,ROD
"Cynarin",0,37,516.5,16.08,0.341,0.756,0.303,ROD
"Cyproheptadine HCl",0,22,287.4,8.38,0.549,0.677,0.131,DISC
"Cyproheptadine hydrochloride",0,22,287.4,8.38,0.549,0.677,0.131,DISC
"Cyromazine",0,12,166.2,7.18,0.238,0.772,0.455,ROD
"Cysteamine HCl",0,4,77.2,3.21,0.180,0.860,0.555,ROD
"Cytarabine",0,17,243.2,9.16,0.225,0.905,0.473,ROD
"Cytarabine",0,17,243.2,8.44,0.267,0.876,0.402,ROD
"Cytarabine hydrochloride",0,17,243.2,9.16,0.225,0.905,0.473,ROD
"Cytidine",0,17,243.2,8.42,0.309,0.746,0.348,ROD
"Cytisine",0,14,190.2,5.75,0.380,0.806,0.252,DISC
"Cytosine",0,8,111.1,4.56,0.339,0.661,0.328,DISC
"Cytosine-1-Beta-Arabinofuranoside",0,17,243.2,9.56,0.215,0.849,0.489,ROD
"Cytosine-1-Beta-D-Arabinofuranoside Hydrochloride",0,17,243.2,9.16,0.225,0.905,0.473,ROD
"D (-)- Lyxose",0,10,150.1,5.48,0.430,0.810,0.202,DISC
"D (+) Cellobiose",0,23,342.3,10.16,0.300,0.838,0.353,ROD
"D (+) Raffinose",0,34,504.4,13.74,0.254,0.905,0.425,ROD
"D (+) Trehalose Hydrate",0,23,342.3,10.47,0.257,0.911,0.421,ROD
"D panthenol",0,14,205.3,6.82,0.370,0.866,0.265,DISC
"D-(-)-Tartaric acid",0,10,150.1,4.34,0.678,0.943,0.052,SPHERE
"D-(+)-Cellobiose",0,23,342.3,10.24,0.305,0.812,0.346,ROD
"D-(+)-Raffinose pentahydrate",0,34,504.4,14.53,0.298,0.848,0.356,ROD
"D-(+)-Trehalose dihydrate",0,23,342.3,10.47,0.257,0.911,0.421,ROD
"D-Alanine",0,6,89.1,3.61,0.433,0.794,0.199,DISC
"D-Biotin",0,16,244.3,8.36,0.309,0.804,0.341,ROD
"D-Carnitine hydrochloride",0,11,162.2,5.84,0.399,0.873,0.233,DISC
"D-Cycloserine",0,7,102.1,3.66,0.444,0.580,0.246,DISC
"D-Galactose",0,12,180.2,5.88,0.518,0.862,0.131,DISC
"D-Gluconic acid",0,13,196.2,6.36,0.368,0.916,0.271,DISC
"D-Glucuronic acid",0,13,194.1,7.28,0.308,0.904,0.345,ROD
"D-Mannitol",0,12,182.2,6.19,0.438,0.851,0.194,DISC
"D-Mannosamine hydrochloride",0,12,179.2,6.40,0.408,0.633,0.258,DISC
"D-Mannose",0,12,180.2,6.33,0.402,0.639,0.261,DISC
"D-Pantethine",0,36,554.7,12.42,0.552,0.700,0.123,SPHERE
"D-Pantothenate Sodium",0,15,219.2,9.04,0.175,0.970,0.571,ROD
"D-Phenylalanine",0,12,165.2,6.51,0.255,0.880,0.421,ROD
"D-Pinitol",0,13,194.2,5.87,0.544,0.699,0.128,DISC
"D-Ribose",0,10,150.1,5.30,0.476,0.741,0.167,DISC
"D(-)-Arabinose",0,10,150.1,4.84,0.492,0.696,0.164,DISC
"D(+)-Melezitose",0,34,504.4,10.96,0.599,0.711,0.097,SPHERE
"D(+)-Xylose",0,10,150.1,5.48,0.430,0.810,0.202,DISC
"Dabigatran Etexilate",0,46,627.7,15.55,0.448,0.679,0.204,DISC
"Dabigatran etexilate mesylate",0,46,627.7,15.55,0.448,0.679,0.204,DISC
"Dabrafenib (GSK2118436)",0,35,519.6,13.37,0.290,0.839,0.367,ROD
"Dabrafenib Mesylate",0,35,519.6,13.37,0.290,0.839,0.367,ROD
"Dacarbazine",0,13,182.2,6.74,0.311,0.756,0.343,ROD
"Daclatasvir (BMS-790052)",0,54,738.9,23.01,0.121,0.969,0.684,ROD
"Daclatasvir Digydrochloride",0,54,738.9,23.01,0.121,0.969,0.684,ROD
"Dacomitinib (PF299804, PF299)",0,33,469.9,13.93,0.358,0.670,0.301,DISC
"Daidzein",0,19,254.2,12.04,0.096,0.926,0.740,ROD
"Daidzin",0,30,416.4,15.99,0.092,0.972,0.751,ROD
"Daminozide",0,11,160.2,7.57,0.167,0.956,0.584,ROD
"Danazol",0,25,337.5,11.37,0.168,0.953,0.582,ROD
"Danazol",0,25,337.5,12.44,0.140,0.948,0.639,ROD
"Danofloxacin Mesylate",0,26,357.4,11.06,0.235,0.847,0.453,ROD
"Danoprevir (ITMN-191)",0,51,731.8,15.33,0.474,0.666,0.185,DISC
"Danshensu",0,14,198.2,6.63,0.294,0.902,0.364,ROD
"Dantrolene sodium",0,23,314.3,15.45,0.064,0.937,0.819,ROD
"Dantrolene Sodium",0,23,314.3,15.45,0.064,0.937,0.819,ROD
"Dantrolene sodium hemiheptahydrate",0,23,314.3,15.45,0.064,0.937,0.819,ROD
"Dapagliflozin",0,28,408.9,13.68,0.304,0.858,0.348,ROD
"Dapagliflozin propanediol monohydrate",0,28,408.9,13.68,0.304,0.858,0.348,ROD
"Daphnetin",0,13,178.1,7.07,0.254,0.746,0.431,ROD
"Dapiprazole Hydrochloride",0,24,325.5,8.33,0.457,0.756,0.181,DISC
"Dapoxetine HCl",0,23,305.4,9.64,0.295,0.789,0.361,ROD
"Dapson",0,17,248.3,9.43,0.293,0.865,0.363,ROD
"Dapsone",0,17,248.3,9.43,0.293,0.865,0.363,ROD
"Darifenacin HBr",0,32,426.6,13.84,0.213,0.948,0.498,ROD
"Darolutamide (ODM-201)",0,28,398.9,14.68,0.217,0.867,0.485,ROD
"Darunavir",0,38,547.7,11.41,0.538,0.769,0.120,DISC
"Darunavir Ethanolate",0,38,547.7,11.41,0.538,0.769,0.120,DISC
"Dasabuvir(ABT-333)",0,35,493.6,16.61,0.187,0.861,0.542,ROD
"Dasatinib",0,33,488.0,15.03,0.225,0.824,0.472,ROD
"Dasatinib hydrochloride",0,33,488.0,15.03,0.225,0.824,0.472,ROD
"Dasatinib Monohydrate",0,33,488.0,15.03,0.225,0.824,0.472,ROD
"Daunorubicin HCl",0,38,527.5,13.30,0.348,0.731,0.298,ROD
"Decamethonium Bromide",0,18,258.5,14.24,0.067,0.974,0.814,ROD
"Decitabine",0,16,228.2,8.31,0.264,0.790,0.408,ROD
"Deferasirox",0,28,373.4,12.42,0.316,0.732,0.339,ROD
"Deferiprone",0,10,139.2,5.52,0.377,0.623,0.295,DISC
"Deferoxamine mesylate",0,39,560.7,13.72,0.391,0.751,0.245,DISC
"Deflazacort",0,32,441.5,12.12,0.271,0.973,0.407,ROD
"Dehydroandrographolide Succinate",0,24,332.4,11.57,0.156,0.943,0.606,ROD
"Dehydroandrographolide Succinate Potasium Salt",0,24,332.4,8.23,0.515,0.763,0.136,DISC
"Dehydroascorbic Acid",0,12,174.1,5.73,0.473,0.845,0.164,DISC
"Dehydrocholic acid",0,29,402.5,14.99,0.145,0.954,0.630,ROD
"Dehydrocostus Lactone",0,17,230.3,7.30,0.401,0.665,0.253,DISC
