name,hit,heavy_atoms,mw,length_A
"Citropten",1,15,206.2,7.651174944510943
"Khellin",1,19,260.2,8.220713455640105
"Methoxsalen",1,16,216.2,8.109691093252238
"Osthole",1,18,244.3,8.336786986869923
"Imperatorin",1,20,270.3,9.364633795145297
"Psoralen",1,14,186.2,8.072097175683094
"Scopoletin",1,14,192.2,8.308744153494835
"alpha-Asarone",1,15,208.3,8.913779255997932
"Yangonin",1,19,258.3,13.133072368382647
"Hexylresorcinol",1,14,194.3,8.07161416252821
"Oxantel Pamoate",1,16,216.3,9.263009946160258
"Olivetol",1,13,180.2,7.824973077506789
"Metronidazole Benzoate",1,20,275.3,9.343671133118713
"Sodium dehydroacetate",1,12,168.1,6.74526939583845
"Dehydroacetic acid",1,12,168.1,6.74526939583845
"Equol",1,18,242.3,11.95493229764342
"Diethylstilbestrol",1,20,268.4,8.698908899299465
"Hexestrol",1,20,270.4,11.452789276882672
"2,4-Dinitrophenol",1,13,184.1,7.054458839595588
"2,4,6-Trihydroxybenzoic Acid",1,12,170.1,6.371269438319463
"2,6-Dihydroxybenzoic Acid",1,11,154.1,5.061964749043744
"Amfonelic Acid",1,23,308.3,11.642607438885678
"Lesinurad",1,24,404.3,9.666511978460631
"S-(-)-Lisuride",1,25,338.5,12.207946858258254
"7-Nitroindazole",1,12,163.1,5.830173717873448
"( R)-(+)-Win 55,212-2 Mesylate",1,32,426.5,9.52513592345371
"Vanillyl Butyl Ether",1,15,210.3,9.033767027196692
"Bicalutamide",1,29,430.4,15.178244067381577
"Efavirenz",1,21,315.7,8.108273811625757
"Flutamide",1,19,276.2,9.232600635220962
"Flutamide",1,19,276.2,9.232600635220962
"Riluzole",1,15,234.2,9.586089092265976
"Cinacalcet HCl",1,26,357.4,10.182841429216824
"Cinacalcet",1,26,357.4,10.182841429216824
"Bumetanide",1,25,364.4,9.72587633790069
"Clopidogrel",1,21,321.8,9.631880386682079
"Nitazoxanide",1,21,307.3,11.031712037924947
"Monobenzone",1,15,200.2,8.656807180387242
"Praziquantel",1,23,312.4,8.944969076568244
"Nevirapine",1,20,266.3,7.623071006045684
"Diclazuril",1,26,407.6,13.309619161391545
"Triclabendazole",1,21,359.7,12.029141400264134
"Oxytetracycline Dihydrate",1,33,460.4,11.520629660976384
"Seratrodast(AA-2414, ABT-001)",1,26,354.4,10.39523538490669
"Artemether",1,21,298.4,8.165982868372174
"Tolbutamide",1,18,270.4,9.159159609580007
"Clomipramine HCl",1,22,314.9,9.4030595490414
"Melitracen hydrochloride",1,22,291.4,9.499483078311307
"Linagliptin",1,35,472.6,14.878950646044109
"Calcipotriene",1,30,412.6,12.948976177574695
"Latanoprost",1,31,432.6,13.64055148447317
"Tafluprost",1,32,452.5,12.599175403462883
"Lathyrol",1,24,334.5,10.602220440666866
"GUANABENZ",1,14,231.1,8.444753021633982
"Guanabenz Acetate",1,14,231.1,8.444753021633982
"Loxapine Succinate",1,23,327.8,9.904278870551057
"Mezlocillin Sodium",1,36,539.6,11.904567626766227
"Liothyronine Sodium",1,23,651.0,12.725590674633168
"Tetrac",1,22,747.8,13.031162080180842
"Phenazopyridine HCl",1,16,213.2,10.301966372506547
"Chloroxylenol",1,10,156.6,5.883751169293541
"Metyrapone",1,17,226.3,8.684799800241988
"Hydroxyzine pamoate",1,26,374.9,12.021905851107034
"Benzbromarone",1,22,424.1,9.564798863783052
"Ibudilast",1,17,230.3,6.863974447567353
"Ibuprofen piconol",1,22,297.4,10.063822113081027
"Combretastatin A4",1,23,316.4,10.824907139561669
"2-Aminopyrimidine",1,7,95.1,4.079209951447245
"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,128.1,5.641031819296
"Dihydroxyacetone",1,6,90.1,4.868905978001274
"Honokiol",1,20,266.3,9.343778883279551
"Magnolol",1,20,266.3,8.207456440326032
"Evodiamine",1,23,303.4,10.737354542668212
"Benzyl cinnamate",1,18,238.3,11.659965248681685
"5-Bromo-2-Hydroxybenzophenone",1,13,177.2,6.383847755702225
"Atipamezole hydrochloride",1,16,212.3,7.143935386948342
"(-)-Borneol",0,11,154.3,4.611888385068063
"(-)-Epicatechin gallate",0,32,442.4,14.008153118773105
"(-)-Epigallocatechin Gallate",0,33,458.4,14.00318644063476
"(-)-Fenchone",0,11,152.2,4.9562283670671805
"(-)-Huperzine A (HupA)",0,18,242.3,8.32986566091789
"(-)-Menthol",0,11,156.3,6.768098588581267
"(-)-Parthenolide",0,18,248.3,7.318536901898056
"(-)-Sparteine Sulfate",0,17,234.4,7.901917424748117
"(-)-Verbenone",0,11,150.2,5.045680318470271
