lig,name,label,heavy,clogp,model,apo_cav,holo_cav,apo_main,holo_main,fill,apo_rmax,holo_rmax,n_comp
lig0137,Flutamide,1,19,3.21,3,158.8,39.7,158.8,0.0,0.75,3.26,0.0,1
lig0137,Flutamide,1,19,3.21,4,150.1,42.8,92.9,0.0,0.715,3.02,0.0,1
lig0138,Riluzole,1,15,2.78,0,162.2,42.3,113.0,0.0,0.739,3.26,0.0,1
lig0138,Riluzole,1,15,2.78,1,153.1,41.9,153.1,0.0,0.726,2.99,0.0,1
lig0161,Mezlocillin Sodium,1,36,-0.23,3,185.8,36.7,84.2,0.0,0.802,3.34,0.0,1
lig0161,Mezlocillin Sodium,1,36,-0.23,4,197.6,30.9,139.3,0.0,0.844,3.38,0.0,1
lig0162,Liothyronine Sodium,1,23,3.95,0,200.7,47.3,122.3,0.0,0.764,3.22,0.0,1
lig0162,Liothyronine Sodium,1,23,3.95,1,201.5,35.6,97.2,0.0,0.823,3.22,0.0,1
lig0156,Latanoprost,1,31,4.19,4,206.1,24.4,117.1,0.0,0.882,3.42,0.0,1
lig0157,Tafluprost,1,32,4.68,0,233.3,32.4,127.0,0.0,0.861,3.39,0.0,1
lig0157,Tafluprost,1,32,4.68,1,190.1,41.0,90.1,0.0,0.784,3.36,0.0,1
lig0157,Tafluprost,1,32,4.68,2,228.3,29.2,112.5,0.0,0.872,3.21,0.0,1
lig0174,Dihydroxyacetone,1,6,-1.46,2,127.4,46.7,74.1,0.0,0.633,2.91,0.0,1
lig0174,Dihydroxyacetone,1,6,-1.46,3,111.2,36.7,73.7,0.0,0.67,2.99,0.0,1
lig0174,Dihydroxyacetone,1,6,-1.46,4,119.0,24.8,79.1,0.0,0.792,2.94,0.0,1
lig0175,Honokiol,1,20,4.22,0,144.5,43.8,93.1,0.0,0.697,2.98,0.0,1
lig0155,Calcipotriene,1,30,5.09,1,155.5,22.2,155.5,0.0,0.857,3.22,0.0,1
lig0155,Calcipotriene,1,30,5.09,2,139.3,25.3,59.8,0.0,0.818,3.27,0.0,1
lig0155,Calcipotriene,1,30,5.09,3,158.8,25.1,135.0,0.0,0.842,3.28,0.0,1
lig0155,Calcipotriene,1,30,5.09,4,171.7,25.7,125.9,0.0,0.85,3.33,0.0,1
lig0148,Oxytetracycline Dihydrate,1,33,-1.24,4,152.9,24.6,133.5,0.0,0.839,3.46,0.0,1
lig0149,"Seratrodast(AA-2414, ABT-001)",1,26,4.61,0,163.5,37.6,163.5,0.0,0.77,3.23,0.0,1
lig0149,"Seratrodast(AA-2414, ABT-001)",1,26,4.61,1,170.9,41.3,120.3,0.0,0.758,3.33,0.0,1
lig0149,"Seratrodast(AA-2414, ABT-001)",1,26,4.61,2,175.6,37.6,77.1,0.0,0.786,3.42,0.0,1
lig0151,Tolbutamide,1,18,1.78,1,160.7,44.5,115.3,0.0,0.723,3.09,0.0,1
lig0151,Tolbutamide,1,18,1.78,2,156.4,45.6,45.6,0.0,0.708,2.98,0.0,1
lig0151,Tolbutamide,1,18,1.78,3,153.1,44.3,114.7,0.0,0.711,3.16,0.0,1
lig0151,Tolbutamide,1,18,1.78,4,153.4,35.4,111.2,0.0,0.769,3.04,0.0,1
lig0160,Loxapine Succinate,1,23,3.77,0,200.9,52.1,90.3,0.0,0.741,3.21,0.0,1
lig0160,Loxapine Succinate,1,23,3.77,1,169.1,40.8,122.5,0.0,0.759,3.19,0.0,1
lig0160,Loxapine Succinate,1,23,3.77,2,195.9,51.0,73.9,0.0,0.74,3.2,0.0,1
lig0160,Loxapine Succinate,1,23,3.77,3,167.2,47.3,148.6,0.0,0.717,3.27,0.0,1
lig0145,Nevirapine,1,20,2.65,3,166.8,42.6,166.8,0.0,0.745,3.16,0.0,1
lig0145,Nevirapine,1,20,2.65,4,181.2,42.3,119.2,0.0,0.767,3.29,0.0,1
lig0146,Diclazuril,1,26,3.54,0,167.2,46.9,167.2,46.9,0.719,3.16,2.43,1
lig0146,Diclazuril,1,26,3.54,1,174.1,41.0,174.1,0.0,0.765,3.0,0.0,1
lig0157,Tafluprost,1,32,4.68,3,197.6,29.6,111.5,0.0,0.85,3.32,0.0,1
lig0157,Tafluprost,1,32,4.68,4,178.0,34.1,89.4,0.0,0.808,3.25,0.0,1
lig0158,Lathyrol,1,24,2.23,0,183.0,22.7,183.0,0.0,0.876,3.4,0.0,1
lig0158,Lathyrol,1,24,2.23,1,165.7,22.2,165.7,0.0,0.866,3.18,0.0,1
lig0148,Oxytetracycline Dihydrate,1,33,-1.24,0,154.0,25.9,122.0,0.0,0.832,3.23,0.0,1
lig0148,Oxytetracycline Dihydrate,1,33,-1.24,1,167.0,26.1,124.4,0.0,0.844,3.17,0.0,1
lig0148,Oxytetracycline Dihydrate,1,33,-1.24,2,199.4,30.2,138.0,0.0,0.849,3.38,0.0,1
lig0148,Oxytetracycline Dihydrate,1,33,-1.24,3,205.2,25.1,162.2,0.0,0.878,3.29,0.0,1
lig0153,Melitracen hydrochloride,1,22,4.71,3,184.5,35.0,110.8,0.0,0.81,3.35,0.0,1
lig0153,Melitracen hydrochloride,1,22,4.71,4,190.1,45.6,102.2,0.0,0.76,3.18,0.0,1
lig0154,Linagliptin,1,35,1.15,0,151.8,35.4,103.0,0.0,0.767,3.23,0.0,1
lig0154,Linagliptin,1,35,1.15,1,141.9,42.8,62.6,0.0,0.698,3.38,0.0,1
lig0146,Diclazuril,1,26,3.54,2,166.1,48.4,102.4,0.0,0.709,3.19,0.0,1
lig0146,Diclazuril,1,26,3.54,3,181.2,45.4,125.5,0.0,0.749,3.21,0.0,1
lig0146,Diclazuril,1,26,3.54,4,162.2,39.5,111.7,0.0,0.756,3.02,0.0,1
lig0147,Triclabendazole,1,21,6.04,0,177.3,40.8,120.5,0.0,0.77,3.15,0.0,1
lig0173,"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,-0.91,3,108.6,27.0,108.6,0.0,0.751,2.98,0.0,1
lig0173,"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,-0.91,4,112.3,27.0,77.1,0.0,0.76,3.13,0.0,1
lig0174,Dihydroxyacetone,1,6,-1.46,0,120.3,26.6,53.6,0.0,0.779,2.96,0.0,1
lig0174,Dihydroxyacetone,1,6,-1.46,1,117.9,41.5,117.9,0.0,0.648,3.0,0.0,1
lig0142,Nitazoxanide,1,21,2.23,2,162.0,38.4,105.6,0.0,0.763,3.07,0.0,1
lig0142,Nitazoxanide,1,21,2.23,3,222.7,34.6,100.7,34.6,0.845,3.33,2.5,1
lig0142,Nitazoxanide,1,21,2.23,4,193.3,39.1,135.4,0.0,0.798,3.25,0.0,1
lig0143,Monobenzone,1,15,2.97,0,173.0,34.8,137.2,0.0,0.799,3.13,0.0,1
lig0154,Linagliptin,1,35,1.15,2,144.9,43.6,144.9,0.0,0.699,3.24,0.0,1
lig0154,Linagliptin,1,35,1.15,3,173.9,40.2,65.0,0.0,0.769,3.22,0.0,1
lig0154,Linagliptin,1,35,1.15,4,134.4,41.0,103.2,0.0,0.695,3.14,0.0,1
lig0155,Calcipotriene,1,30,5.09,0,136.5,20.7,67.6,0.0,0.848,3.27,0.0,1
lig0149,"Seratrodast(AA-2414, ABT-001)",1,26,4.61,3,161.1,31.3,161.1,0.0,0.806,3.07,0.0,1
lig0149,"Seratrodast(AA-2414, ABT-001)",1,26,4.61,4,168.7,23.8,84.9,0.0,0.859,3.27,0.0,1
lig0150,Artemether,1,21,2.84,0,178.8,26.6,178.8,0.0,0.851,3.13,0.0,1
lig0150,Artemether,1,21,2.84,1,181.0,26.4,181.0,0.0,0.854,3.33,0.0,1
lig0181,Neostigmine Bromide,0,16,1.94,3,153.1,49.0,153.1,0.0,0.68,3.09,0.0,1
lig0181,Neostigmine Bromide,0,16,1.94,4,160.1,37.4,160.1,0.0,0.766,3.17,0.0,1
lig0182,Vitexin,0,31,0.09,0,177.3,35.9,101.7,0.0,0.798,3.2,0.0,1
lig0182,Vitexin,0,31,0.09,1,155.1,33.7,116.6,0.0,0.783,3.02,0.0,1
lig0140,Bumetanide,1,25,3.04,4,189.0,40.8,98.9,0.0,0.784,3.12,0.0,1
lig0141,Clopidogrel,1,21,3.67,0,193.3,38.9,101.7,0.0,0.799,3.2,0.0,1
lig0141,Clopidogrel,1,21,3.67,1,175.6,37.4,175.6,0.0,0.787,3.28,0.0,1
lig0141,Clopidogrel,1,21,3.67,2,192.7,44.5,192.7,0.0,0.769,3.28,0.0,1
lig0158,Lathyrol,1,24,2.23,2,173.0,25.9,123.8,0.0,0.85,3.31,0.0,1
lig0158,Lathyrol,1,24,2.23,3,170.2,21.6,94.0,0.0,0.873,3.25,0.0,1
lig0158,Lathyrol,1,24,2.23,4,178.6,25.7,94.8,0.0,0.856,3.25,0.0,1
lig0159,GUANABENZ,1,14,1.81,0,148.2,51.2,89.0,51.2,0.655,3.2,2.41,1
lig0162,Liothyronine Sodium,1,23,3.95,2,197.2,40.8,149.5,0.0,0.793,3.13,0.0,1
lig0162,Liothyronine Sodium,1,23,3.95,3,194.4,38.0,194.4,0.0,0.805,3.12,0.0,1
lig0162,Liothyronine Sodium,1,23,3.95,4,225.5,36.5,175.0,0.0,0.838,3.27,0.0,1
lig0163,Tetrac,1,22,5.23,0,211.5,40.0,135.4,0.0,0.811,3.24,0.0,1
lig0170,Ibuprofen piconol,1,22,4.13,2,182.3,44.7,80.6,0.0,0.755,3.21,0.0,1
lig0170,Ibuprofen piconol,1,22,4.13,3,171.5,44.9,126.4,0.0,0.738,3.04,0.0,1
lig0170,Ibuprofen piconol,1,22,4.13,4,205.4,43.8,125.5,0.0,0.787,3.23,0.0,1
lig0171,Combretastatin A4,1,23,3.6,0,165.7,23.5,123.1,0.0,0.858,2.98,0.0,1
lig0141,Clopidogrel,1,21,3.67,3,146.0,25.9,146.0,0.0,0.823,3.17,0.0,1
lig0141,Clopidogrel,1,21,3.67,4,161.6,47.3,113.4,0.0,0.707,3.37,0.0,1
lig0142,Nitazoxanide,1,21,2.23,0,181.9,35.6,181.9,0.0,0.804,3.24,0.0,1
lig0142,Nitazoxanide,1,21,2.23,1,186.2,37.2,98.1,0.0,0.8,3.15,0.0,1
lig0164,Phenazopyridine HCl,1,16,2.66,4,159.0,41.9,159.0,0.0,0.736,3.19,0.0,1
lig0165,Chloroxylenol,1,10,2.66,0,119.2,24.4,80.8,0.0,0.795,2.94,0.0,1
lig0165,Chloroxylenol,1,10,2.66,1,115.1,34.8,52.7,0.0,0.698,3.1,0.0,1
lig0165,Chloroxylenol,1,10,2.66,2,137.6,42.6,109.3,0.0,0.69,2.99,0.0,1
lig0159,GUANABENZ,1,14,1.81,1,160.9,23.8,124.0,0.0,0.852,3.28,0.0,1
lig0159,GUANABENZ,1,14,1.81,2,144.7,39.3,70.6,0.0,0.728,3.16,0.0,1
lig0159,GUANABENZ,1,14,1.81,3,162.4,39.3,109.1,0.0,0.758,3.09,0.0,1
lig0159,GUANABENZ,1,14,1.81,4,154.7,20.3,154.7,0.0,0.869,3.21,0.0,1
lig0163,Tetrac,1,22,5.23,1,186.0,29.8,115.6,0.0,0.84,3.09,0.0,1
lig0163,Tetrac,1,22,5.23,2,196.8,39.1,100.0,0.0,0.801,3.21,0.0,1
lig0163,Tetrac,1,22,5.23,3,207.6,37.6,164.8,0.0,0.819,3.32,0.0,1
lig0163,Tetrac,1,22,5.23,4,182.5,38.9,130.5,0.0,0.787,3.23,0.0,1
lig0152,Clomipramine HCl,1,22,4.53,0,181.4,41.9,107.6,0.0,0.769,3.26,0.0,1
lig0152,Clomipramine HCl,1,22,4.53,1,203.9,44.1,203.9,0.0,0.784,3.24,0.0,1
lig0152,Clomipramine HCl,1,22,4.53,2,185.1,42.3,69.1,0.0,0.771,3.26,0.0,1
lig0152,Clomipramine HCl,1,22,4.53,3,197.9,40.0,120.3,0.0,0.798,3.11,0.0,1
lig0164,Phenazopyridine HCl,1,16,2.66,0,156.0,39.1,113.0,0.0,0.749,3.24,0.0,1
lig0164,Phenazopyridine HCl,1,16,2.66,1,165.9,38.7,102.4,0.0,0.767,3.14,0.0,1
lig0164,Phenazopyridine HCl,1,16,2.66,2,149.3,35.6,109.1,0.0,0.762,3.1,0.0,1
lig0164,Phenazopyridine HCl,1,16,2.66,3,148.0,41.7,103.2,0.0,0.718,3.12,0.0,1
lig0160,Loxapine Succinate,1,23,3.77,4,168.3,35.4,109.7,0.0,0.79,3.1,0.0,1
lig0161,Mezlocillin Sodium,1,36,-0.23,0,133.1,35.2,63.7,0.0,0.736,2.96,0.0,1
lig0161,Mezlocillin Sodium,1,36,-0.23,1,184.5,31.3,139.1,0.0,0.83,3.25,0.0,1
lig0161,Mezlocillin Sodium,1,36,-0.23,2,179.5,36.1,131.5,0.0,0.799,3.45,0.0,1
lig0152,Clomipramine HCl,1,22,4.53,4,206.5,25.5,206.5,0.0,0.877,3.22,0.0,1
lig0153,Melitracen hydrochloride,1,22,4.71,0,188.8,41.0,127.9,0.0,0.783,3.38,0.0,1
lig0153,Melitracen hydrochloride,1,22,4.71,1,202.0,59.8,76.9,59.8,0.704,3.35,2.42,1
lig0153,Melitracen hydrochloride,1,22,4.71,2,210.8,48.0,124.2,0.0,0.772,3.19,0.0,1
lig0147,Triclabendazole,1,21,6.04,1,170.9,40.6,60.0,0.0,0.762,3.0,0.0,1
lig0147,Triclabendazole,1,21,6.04,2,181.0,42.3,147.5,0.0,0.766,3.36,0.0,1
lig0147,Triclabendazole,1,21,6.04,3,185.3,45.8,136.7,0.0,0.753,3.06,0.0,1
lig0147,Triclabendazole,1,21,6.04,4,209.1,36.9,132.2,0.0,0.824,3.22,0.0,1
lig0176,Magnolol,1,20,4.22,4,182.7,49.2,76.7,0.0,0.731,3.4,0.0,1
lig0177,Evodiamine,1,23,3.31,0,160.1,43.4,124.6,0.0,0.729,3.04,0.0,1
lig0177,Evodiamine,1,23,3.31,1,184.7,40.4,102.0,0.0,0.781,3.19,0.0,1
lig0177,Evodiamine,1,23,3.31,2,177.1,41.5,101.3,0.0,0.766,3.19,0.0,1
lig0184,Travoprost,0,35,4.43,4,212.1,22.7,113.6,0.0,0.893,3.24,0.0,1
lig0185,(-)-Borneol,0,11,2.19,0,128.5,24.8,128.5,0.0,0.807,3.09,0.0,1
lig0185,(-)-Borneol,0,11,2.19,1,122.9,24.4,122.9,0.0,0.801,3.08,0.0,1
lig0185,(-)-Borneol,0,11,2.19,2,128.3,22.0,128.3,0.0,0.829,3.22,0.0,1
lig0175,Honokiol,1,20,4.22,1,129.0,41.0,97.6,0.0,0.682,2.98,0.0,1
lig0175,Honokiol,1,20,4.22,2,121.4,35.6,42.6,0.0,0.707,2.89,0.0,1
lig0175,Honokiol,1,20,4.22,3,179.5,44.3,114.9,0.0,0.753,3.16,0.0,1
lig0175,Honokiol,1,20,4.22,4,170.0,41.7,96.1,0.0,0.755,3.12,0.0,1
lig0169,Ibudilast,1,17,3.3,3,162.4,43.0,108.4,0.0,0.735,3.07,0.0,1
lig0169,Ibudilast,1,17,3.3,4,152.7,41.7,125.1,0.0,0.727,3.24,0.0,1
lig0170,Ibuprofen piconol,1,22,4.13,0,168.3,48.6,132.2,0.0,0.711,3.12,0.0,1
lig0170,Ibuprofen piconol,1,22,4.13,1,190.3,42.6,80.8,0.0,0.776,3.24,0.0,1
lig0168,Benzbromarone,1,22,5.46,0,224.4,49.0,79.9,0.0,0.782,3.18,0.0,1
lig0168,Benzbromarone,1,22,5.46,1,214.7,42.3,89.9,42.3,0.803,3.17,2.53,1
lig0168,Benzbromarone,1,22,5.46,2,216.9,42.1,118.8,42.1,0.806,3.15,2.62,1
lig0168,Benzbromarone,1,22,5.46,3,209.5,43.4,209.5,16.6,0.793,3.31,2.5,1
lig0171,Combretastatin A4,1,23,3.6,1,185.3,46.9,139.3,0.0,0.747,3.2,0.0,1
lig0171,Combretastatin A4,1,23,3.6,2,184.9,24.6,70.4,0.0,0.867,3.17,0.0,1
lig0171,Combretastatin A4,1,23,3.6,3,143.4,39.5,99.8,0.0,0.725,3.13,0.0,1
lig0171,Combretastatin A4,1,23,3.6,4,178.6,24.8,108.4,0.0,0.861,3.25,0.0,1
lig0172,2-Aminopyrimidine,1,7,0.06,4,154.2,59.2,110.4,59.2,0.616,3.18,2.47,1
lig0173,"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,-0.91,0,111.7,24.4,89.2,0.0,0.782,3.15,0.0,1
lig0173,"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,-0.91,1,108.9,23.1,108.9,0.0,0.788,3.11,0.0,1
lig0173,"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,-0.91,2,117.5,30.0,82.7,0.0,0.745,3.07,0.0,1
lig0182,Vitexin,0,31,0.09,2,154.0,35.6,88.6,0.0,0.769,3.07,0.0,1
lig0182,Vitexin,0,31,0.09,3,162.6,25.3,104.5,0.0,0.844,3.17,0.0,1
lig0182,Vitexin,0,31,0.09,4,167.4,23.3,102.4,0.0,0.861,3.3,0.0,1
lig0183,Piperacillin Sodium,0,36,-0.24,0,175.6,34.6,85.3,0.0,0.803,3.39,0.0,1
lig0196,Allylestrenol,0,22,5.26,0,136.7,22.9,69.1,0.0,0.832,3.12,0.0,1
lig0196,Allylestrenol,0,22,5.26,1,138.7,23.3,76.5,0.0,0.832,3.16,0.0,1
lig0196,Allylestrenol,0,22,5.26,2,149.5,23.8,105.6,0.0,0.841,3.44,0.0,1
lig0196,Allylestrenol,0,22,5.26,3,149.7,22.0,75.6,0.0,0.853,3.19,0.0,1
lig0178,Benzyl cinnamate,1,18,3.44,2,170.0,50.5,92.0,0.0,0.703,3.26,0.0,1
lig0178,Benzyl cinnamate,1,18,3.44,3,156.8,62.2,74.5,62.2,0.603,3.15,2.52,1
lig0178,Benzyl cinnamate,1,18,3.44,4,163.7,39.1,163.7,0.0,0.761,3.15,0.0,1
lig0179,5-Bromo-2-Hydroxybenzophenone,1,13,0.34,0,139.5,35.2,86.2,0.0,0.748,3.0,0.0,1
lig0180,Atipamezole hydrochloride,1,16,2.86,4,149.5,36.5,149.5,0.0,0.756,3.23,0.0,1
lig0181,Neostigmine Bromide,0,16,1.94,0,155.5,40.4,92.9,0.0,0.74,3.1,0.0,1
lig0181,Neostigmine Bromide,0,16,1.94,1,150.3,26.6,150.3,0.0,0.823,3.2,0.0,1
lig0181,Neostigmine Bromide,0,16,1.94,2,153.8,40.8,81.4,0.0,0.735,3.11,0.0,1
lig0195,Carvacrol,0,11,2.82,1,154.0,33.0,154.0,0.0,0.786,3.13,0.0,1
lig0195,Carvacrol,0,11,2.82,2,132.6,50.1,103.5,0.0,0.622,2.99,0.0,1
lig0195,Carvacrol,0,11,2.82,3,132.4,34.8,132.4,0.0,0.737,2.91,0.0,1
lig0195,Carvacrol,0,11,2.82,4,124.2,35.9,72.8,0.0,0.711,2.97,0.0,1
lig0184,Travoprost,0,35,4.43,0,216.6,38.7,138.5,0.0,0.821,3.06,0.0,1
lig0184,Travoprost,0,35,4.43,1,225.5,34.1,98.3,0.0,0.849,3.28,0.0,1
lig0184,Travoprost,0,35,4.43,2,211.0,28.7,97.2,0.0,0.864,3.26,0.0,1
lig0184,Travoprost,0,35,4.43,3,188.4,26.6,131.8,0.0,0.859,3.2,0.0,1
lig0185,(-)-Borneol,0,11,2.19,3,126.6,27.9,126.6,0.0,0.78,3.01,0.0,1
lig0185,(-)-Borneol,0,11,2.19,4,113.4,21.4,113.4,0.0,0.811,3.14,0.0,1
lig0186,MPEP,0,15,2.79,0,179.3,40.8,179.3,0.0,0.772,3.22,0.0,1
lig0186,MPEP,0,15,2.79,1,162.0,36.1,86.0,0.0,0.777,3.08,0.0,1
lig0168,Benzbromarone,1,22,5.46,4,211.0,41.9,96.1,41.9,0.801,3.26,2.58,1
lig0169,Ibudilast,1,17,3.3,0,172.2,47.1,172.2,0.0,0.726,3.14,0.0,1
lig0169,Ibudilast,1,17,3.3,1,162.0,33.7,104.8,0.0,0.792,3.09,0.0,1
lig0169,Ibudilast,1,17,3.3,2,165.9,40.0,107.6,0.0,0.759,3.2,0.0,1
lig0183,Piperacillin Sodium,0,36,-0.24,1,189.6,35.4,92.7,0.0,0.813,3.36,0.0,1
lig0183,Piperacillin Sodium,0,36,-0.24,2,172.4,32.6,119.7,0.0,0.811,3.12,0.0,1
lig0183,Piperacillin Sodium,0,36,-0.24,3,202.6,30.5,84.0,0.0,0.849,3.23,0.0,1
lig0183,Piperacillin Sodium,0,36,-0.24,4,224.0,31.5,156.6,0.0,0.859,3.32,0.0,1
lig0167,Hydroxyzine pamoate,1,26,3.06,1,176.0,37.4,176.0,0.0,0.787,3.32,0.0,1
lig0167,Hydroxyzine pamoate,1,26,3.06,2,206.7,39.3,121.8,0.0,0.81,3.25,0.0,1
lig0167,Hydroxyzine pamoate,1,26,3.06,3,195.5,42.3,119.9,0.0,0.784,3.34,0.0,1
lig0167,Hydroxyzine pamoate,1,26,3.06,4,185.1,36.3,118.6,0.0,0.804,3.38,0.0,1
lig0187,(+)-Borneol,0,11,2.19,1,142.8,28.5,98.7,0.0,0.8,3.27,0.0,1
lig0187,(+)-Borneol,0,11,2.19,2,125.1,20.1,85.5,0.0,0.839,3.09,0.0,1
lig0187,(+)-Borneol,0,11,2.19,3,118.8,22.2,58.5,0.0,0.813,2.93,0.0,1
lig0187,(+)-Borneol,0,11,2.19,4,118.4,19.0,118.4,0.0,0.84,2.96,0.0,1
